"","date","currency","open","close","high","low","adj","volume","test","true","pred"
"1",2018-01-15,"BCH-AUD",3214.341797,3017.768311,3248.587402,2931.272949,3017.768311,1774767449,"training","Not Buy","Not Buy"
"2",2018-01-16,"BCH-AUD",3024.453613,2223.425293,3024.453613,1955.227417,2223.425293,2138055146,"training","Buy","Buy"
"3",2018-01-17,"BCH-AUD",2217.791748,2193.012207,2352.967773,1708.536255,2193.012207,1828791930,"training","Buy","Buy"
"4",2018-01-18,"BCH-AUD",2198.306396,2194.565918,2370.986572,2127.226074,2194.565918,1279275492,"training","Not Buy","Buy"
"5",2018-01-19,"BCH-AUD",2173.854004,2214.793457,2336.138916,2152.416016,2214.793457,930221496,"training","Not Buy","Not Buy"
"6",2018-01-20,"BCH-AUD",2233.116455,2543.329102,2658.885986,2228.3479,2543.329102,1397046307,"training","Not Buy","Not Buy"
"7",2018-01-21,"BCH-AUD",2545.306641,2220.522461,2545.306641,2168.029541,2220.522461,931357340,"training","Not Buy","Not Buy"
"8",2018-01-22,"BCH-AUD",2242.794678,2025.627686,2272.684082,1902.831543,2025.627686,850942944,"training","Not Buy","Not Buy"
"9",2018-01-23,"BCH-AUD",2027.151245,2026.065186,2131.018799,1889.876831,2026.065186,723458702,"training","Not Buy","Not Buy"
"10",2018-01-24,"BCH-AUD",2026.92749,2036.186401,2112.014893,1969.275024,2036.186401,606411170,"training","Not Buy","Not Buy"
"11",2018-01-25,"BCH-AUD",2063.403809,2045.490723,2109.57373,1990.41272,2045.490723,650465849,"training","Not Buy","Not Buy"
"12",2018-01-26,"BCH-AUD",2039.349731,1977.925781,2083.442871,1856.893555,1977.925781,733341975,"test","Not Buy","Not Buy"
"13",2018-01-27,"BCH-AUD",1976.199341,2008.422729,2054.273193,1933.38269,2008.422729,544755229,"training","Not Buy","Not Buy"
"14",2018-01-28,"BCH-AUD",2018.01709,2151.614014,2173.313477,2018.01709,2151.614014,715308033,"test","Not Buy","Not Buy"
"15",2018-01-29,"BCH-AUD",2150.517578,2047.115479,2173.619385,2025.129761,2047.115479,447452738,"training","Not Buy","Not Buy"
