"","date","currency","open","close","high","low","adj","volume","test","true","pred"
"1",2018-01-15,"BNB-AUD",26.306311,24.584946,29.725224,24.288101,24.584946,306803216,"training","Not Buy","Not Buy"
"2",2018-01-16,"BNB-AUD",24.672029,17.430239,24.672029,13.1357,17.430239,501820587,"training","Buy","Not Buy"
"3",2018-01-17,"BNB-AUD",17.092848,17.818592,19.505146,12.111566,17.818592,375625402,"test","Buy","Not Buy"
"4",2018-01-18,"BNB-AUD",17.878057,17.839352,20.042196,16.956581,17.839352,255963782,"training","Not Buy","Not Buy"
"5",2018-01-19,"BNB-AUD",17.877077,18.699125,19.526789,17.457882,18.699125,175071339,"training","Not Buy","Not Buy"
"6",2018-01-20,"BNB-AUD",18.816271,20.263205,20.841551,18.816271,20.263205,196176460,"training","Not Buy","Not Buy"
"7",2018-01-21,"BNB-AUD",20.336546,17.583178,20.336546,16.719774,17.583178,176930383,"training","Not Buy","Not Buy"
"8",2018-01-22,"BNB-AUD",17.746157,16.254028,18.09001,14.867233,16.254028,172381666,"training","Buy","Not Buy"
"9",2018-01-23,"BNB-AUD",16.237667,16.360741,17.483973,14.805276,16.360741,114589778,"training","Buy","Not Buy"
"10",2018-01-24,"BNB-AUD",16.482069,16.930063,17.584387,15.9865,16.930063,131349068,"training","Not Buy","Not Buy"
"11",2018-01-25,"BNB-AUD",17.093788,16.477827,17.464361,16.141586,16.477827,131599402,"training","Not Buy","Not Buy"
"12",2018-01-26,"BNB-AUD",16.45603,16.300653,16.867941,15.21998,16.300653,139880379,"training","Not Buy","Not Buy"
"13",2018-01-27,"BNB-AUD",16.319151,16.343569,16.575903,15.901098,16.343569,103600197,"training","Not Buy","Not Buy"
"14",2018-01-28,"BNB-AUD",16.403625,16.683342,17.033543,16.282896,16.683342,115661784,"test","Not Buy","Not Buy"
"15",2018-01-29,"BNB-AUD",16.689749,15.768375,16.850752,15.662219,15.768375,88072024,"training","Not Buy","Not Buy"
"16",2018-01-30,"BNB-AUD",15.779616,13.891468,15.779616,13.68453,13.891468,73329546,"test","Not Buy","Not Buy"
"17",2018-01-31,"BNB-AUD",13.913199,13.82926,14.109532,13.079703,13.82926,62582206,"training","Not Buy","Not Buy"
"18",2018-02-01,"BNB-AUD",13.87058,11.837093,14.26261,10.89517,11.837093,103227018,"training","Not Buy","Not Buy"
"19",2018-02-02,"BNB-AUD",11.702898,12.17801,13.157001,9.097719,12.17801,115402725,"training","Not Buy","Not Buy"
"20",2018-02-03,"BNB-AUD",12.23399,12.300882,12.960383,10.865102,12.300882,71355286,"training","Not Buy","Not Buy"
