"","date","currency","open","close","high","low","adj","volume","test","true","pred"
"1",2018-01-15,"BTC-AUD",17411.533203,17365.919922,18147.613281,17200.478516,17365.919922,16022618587,"training","Not Buy","Not Buy"
"2",2018-01-16,"BTC-AUD",17386.402344,14417.189453,17384.277344,12810.882813,14417.189453,23655959769,"training","Buy","Buy"
"3",2018-01-17,"BTC-AUD",14342.65918,14036.631836,14577.456055,11788.227539,14036.631836,23623886829,"training","Buy","Buy"
"4",2018-01-18,"BTC-AUD",14049.428711,14334.666016,15141.695313,13714.125,14334.666016,18763772162,"training","Not Buy","Buy"
"5",2018-01-19,"BTC-AUD",14278.326172,14527.410156,14976.023438,13938.989258,14527.410156,13442303038,"training","Not Buy","Buy"
"6",2018-01-20,"BTC-AUD",14588.486328,16144.180664,16399.25,14588.486328,16144.180664,14770588675,"training","Not Buy","Not Buy"
"7",2018-01-21,"BTC-AUD",16131.665039,14498.3125,16140.050781,14117.308594,14498.3125,12417422542,"training","Not Buy","Not Buy"
"8",2018-01-22,"BTC-AUD",14539.556641,13652.304688,14969.227539,12773.107422,13652.304688,13160235194,"training","Buy","Buy"
"9",2018-01-23,"BTC-AUD",13668.665039,13580.408203,14250.500977,12725.753906,13580.408203,12071235206,"training","Buy","Buy"
"10",2018-01-24,"BTC-AUD",13624.141602,14111.056641,14252.044922,13284.804688,14111.056641,12349055841,"training","Not Buy","Not Buy"
"11",2018-01-25,"BTC-AUD",14188.447266,14025.162109,14562.832031,13684.901367,14025.162109,11052777678,"training","Not Buy","Not Buy"
"12",2018-01-26,"BTC-AUD",14020.926758,13776.544922,14467.791992,12959.895508,13776.544922,12018990691,"training","Not Buy","Not Buy"
"13",2018-01-27,"BTC-AUD",13780.861328,14108.644531,14323.467773,13551.856445,14108.644531,9351670844,"training","Not Buy","Not Buy"
"14",2018-01-28,"BTC-AUD",14151.313477,14522.301758,14848.069336,14151.313477,14522.301758,10288763016,"test","Not Buy","Not Buy"
