"","date","currency","open","close","high","low","adj","volume","test","true","pred"
"1",2018-01-15,"EOS-AUD",16.967497,16.266022,18.664822,16.22793,16.266022,1013296044,"training","Not Buy","Not Buy"
"2",2018-01-16,"EOS-AUD",16.284369,12.893225,16.377951,10.803442,12.893225,2007189520,"training","Buy","Not Buy"
"3",2018-01-17,"EOS-AUD",12.796236,12.789236,13.228939,9.625474,12.789236,2038953767,"training","Buy","Not Buy"
"4",2018-01-18,"EOS-AUD",12.791996,13.123174,14.145601,12.409213,13.123174,1581886361,"training","Not Buy","Not Buy"
"5",2018-01-19,"EOS-AUD",12.969394,13.998122,14.694507,12.376663,13.998122,1058317937,"training","Not Buy","Not Buy"
"6",2018-01-20,"EOS-AUD",14.085106,19.422653,19.727283,14.085106,19.422653,3476157677,"training","Not Buy","Not Buy"
"7",2018-01-21,"EOS-AUD",19.601,16.7929,19.601,15.512892,16.7929,3609298917,"training","Not Buy","Not Buy"
"8",2018-01-22,"EOS-AUD",16.919386,17.057699,18.931013,16.022192,17.057699,3624578573,"training","Not Buy","Not Buy"
"9",2018-01-23,"EOS-AUD",16.945173,16.208048,17.292063,14.913191,16.208048,2017593482,"training","Not Buy","Not Buy"
"10",2018-01-24,"EOS-AUD",16.258028,17.185217,17.189337,15.793,17.185217,1305341614,"training","Not Buy","Not Buy"
"11",2018-01-25,"EOS-AUD",17.345217,17.830843,18.464317,16.931793,17.830843,1926831131,"training","Not Buy","Not Buy"
"12",2018-01-26,"EOS-AUD",17.785002,17.690098,18.305616,16.363243,17.690098,1780786701,"test","Not Buy","Not Buy"
"13",2018-01-27,"EOS-AUD",17.684179,17.603281,18.037613,17.22617,17.603281,806302843,"training","Not Buy","Not Buy"
"14",2018-01-28,"EOS-AUD",17.689358,18.507269,18.550869,17.686398,18.507269,797129147,"test","Not Buy","Not Buy"
"15",2018-01-29,"EOS-AUD",18.522425,17.30562,18.701059,17.073877,17.30562,698340961,"training","Not Buy","Not Buy"
"16",2018-01-30,"EOS-AUD",17.333662,14.279294,17.333662,13.98762,14.279294,1210448223,"training","Not Buy","Not Buy"
"17",2018-01-31,"EOS-AUD",14.15471,15.144063,15.299541,12.938811,15.144063,1251780598,"training","Not Buy","Not Buy"
"18",2018-02-01,"EOS-AUD",15.182529,12.70046,15.42379,12.317883,12.70046,1144245562,"training","Not Buy","Not Buy"
"19",2018-02-02,"EOS-AUD",12.656922,12.345875,12.869161,9.629157,12.345875,1935579147,"training","Not Buy","Not Buy"
"20",2018-02-03,"EOS-AUD",12.332273,12.414762,13.102699,10.840298,12.414762,928940217,"training","Not Buy","Not Buy"
"21",2018-02-04,"EOS-AUD",12.325549,10.887729,12.834595,10.66114,10.887729,744144777,"training","Not Buy","Not Buy"
"22",2018-02-05,"EOS-AUD",10.976404,8.960831,11.164295,8.7901,8.960831,812797074,"training","Buy","Not Buy"
"23",2018-02-06,"EOS-AUD",9.1057,10.566616,10.719196,7.447574,10.566616,1653173759,"training","Buy","Not Buy"
"24",2018-02-07,"EOS-AUD",10.575459,9.744061,10.994024,9.586755,9.744061,976304028,"test","Not Buy","Not Buy"
"25",2018-02-08,"EOS-AUD",9.805951,10.936077,11.011665,9.797174,10.936077,696208538,"training","Not Buy","Not Buy"
"26",2018-02-09,"EOS-AUD",10.912971,12.358686,12.369556,10.481236,12.358686,649860473,"training","Not Buy","Not Buy"
"27",2018-02-10,"EOS-AUD",12.305838,11.651017,13.18986,11.089604,11.651017,779754172,"training","Not Buy","Not Buy"
"28",2018-02-11,"EOS-AUD",11.634592,10.760242,11.634592,10.459301,10.760242,521755744,"test","Not Buy","Not Buy"
"29",2018-02-12,"EOS-AUD",10.807302,11.684727,11.823894,10.810067,11.684727,450523100,"training","Not Buy","Not Buy"
"30",2018-02-13,"EOS-AUD",11.685083,11.720112,11.80811,11.063679,11.720112,464872153,"training","Not Buy","Not Buy"
"31",2018-02-14,"EOS-AUD",11.743442,12.572436,12.714322,11.57452,12.572436,605915216,"training","Not Buy","Not Buy"
"32",2018-02-15,"EOS-AUD",12.544304,12.803072,12.978201,12.326545,12.803072,493660277,"training","Not Buy","Not Buy"
"33",2018-02-16,"EOS-AUD",12.780282,12.664139,12.931531,12.26448,12.664139,315760333,"test","Not Buy","Not Buy"
"34",2018-02-17,"EOS-AUD",12.651245,12.834913,12.866768,12.549741,12.834913,349954483,"training","Not Buy","Not Buy"
"35",2018-02-18,"EOS-AUD",12.83719,11.854494,12.896978,11.667438,11.854494,447235494,"training","Not Buy","Not Buy"
"36",2018-02-19,"EOS-AUD",11.847945,12.243622,12.394824,11.82054,12.243622,284943734,"training","Not Buy","Not Buy"
"37",2018-02-20,"EOS-AUD",12.251396,11.774896,12.643751,11.721586,11.774896,388096194,"test","Not Buy","Not Buy"
"38",2018-02-21,"EOS-AUD",11.768346,11.23586,11.830742,10.917663,11.23586,382907518,"training","Not Buy","Not Buy"
"39",2018-02-22,"EOS-AUD",11.205976,10.325838,11.428874,10.195067,10.325838,377233655,"training","Not Buy","Not Buy"
"40",2018-02-23,"EOS-AUD",10.269339,10.942457,11.219903,10.114227,10.942457,362571709,"training","Not Buy","Not Buy"
"41",2018-02-24,"EOS-AUD",10.928432,10.448093,11.119648,10.136759,10.448093,308245559,"test","Not Buy","Not Buy"
"42",2018-02-25,"EOS-AUD",10.427273,10.073246,10.43959,9.816957,10.073246,221419994,"training","Buy","Not Buy"
"43",2018-02-26,"EOS-AUD",10.08358,10.359964,10.759827,9.679247,10.359964,320062426,"training","Buy","Not Buy"
"44",2018-02-27,"EOS-AUD",10.405211,11.000976,11.317321,10.209155,11.000976,423694330,"training","Not Buy","Not Buy"
"45",2018-02-28,"EOS-AUD",10.945451,10.838109,11.821718,10.838109,10.838109,489632816,"training","Not Buy","Not Buy"
"46",2018-03-01,"EOS-AUD",10.808476,11.111657,11.111657,10.736588,11.111657,275793405,"training","Not Buy","Not Buy"
"47",2018-03-02,"EOS-AUD",11.177563,10.417023,11.253149,10.340755,10.417023,272509667,"training","Not Buy","Not Buy"
"48",2018-03-03,"EOS-AUD",10.43684,10.305099,10.684355,10.245442,10.305099,182655163,"test","Not Buy","Not Buy"
"49",2018-03-04,"EOS-AUD",10.297,10.546061,10.546061,10.030736,10.546061,252495164,"test","Not Buy","Not Buy"
"50",2018-03-05,"EOS-AUD",10.551824,10.37044,10.707831,10.366323,10.37044,236624173,"test","Not Buy","Not Buy"
"51",2018-03-06,"EOS-AUD",10.309775,9.312089,10.311104,9.158629,9.312089,299365364,"training","Not Buy","Not Buy"
