"","date","currency","open","close","high","low","adj","volume","test","true","pred"
"1",2018-01-15,"ETH-AUD",1726.583984,1623.422974,1757.126587,1621.356812,1623.422974,6007916602,"training","Not Buy","Not Buy"
"2",2018-01-16,"ETH-AUD",1624.315186,1322.07019,1624.723511,1099.930908,1322.07019,10545972356,"training","Buy","Buy"
"3",2018-01-17,"ETH-AUD",1331.668701,1272.425049,1370.668823,979.703918,1272.425049,10720311368,"training","Buy","Buy"
"4",2018-01-18,"ETH-AUD",1275.172485,1294.540894,1381.084595,1215.31958,1294.540894,7418263425,"training","Not Buy","Buy"
"5",2018-01-19,"ETH-AUD",1285.22168,1300.50061,1365.15979,1252.602051,1300.50061,5111952500,"training","Not Buy","Buy"
"6",2018-01-20,"ETH-AUD",1307.822266,1445.744751,1460.713379,1307.822266,1445.744751,4975206528,"training","Not Buy","Not Buy"
"7",2018-01-21,"ETH-AUD",1446.408081,1311.810913,1446.408081,1278.153198,1311.810913,4222084719,"training","Not Buy","Buy"
"8",2018-01-22,"ETH-AUD",1319.022583,1252.978638,1360.354736,1161.973877,1252.978638,4758461306,"training","Buy","Buy"
"9",2018-01-23,"ETH-AUD",1254.115112,1232.324097,1279.517334,1148.951538,1232.324097,4444208301,"training","Buy","Buy"
"10",2018-01-24,"ETH-AUD",1233.883545,1315.254639,1325.564453,1204.699951,1315.254639,4899428491,"training","Not Buy","Not Buy"
"11",2018-01-25,"ETH-AUD",1320.770142,1315.433472,1364.620117,1278.403687,1315.433472,5045079820,"training","Not Buy","Not Buy"
"12",2018-01-26,"ETH-AUD",1311.2854,1301.233276,1337.541748,1233.185669,1301.233276,4461327058,"training","Not Buy","Not Buy"
"13",2018-01-27,"ETH-AUD",1301.948486,1365.236084,1383.623169,1285.140015,1365.236084,3703132341,"training","Not Buy","Not Buy"
"14",2018-01-28,"ETH-AUD",1371.044556,1535.251343,1551.079102,1371.044556,1535.251343,6619430734,"test","Not Buy","Not Buy"
"15",2018-01-29,"ETH-AUD",1536.10144,1460.605347,1548.804443,1444.914063,1460.605347,4589351372,"training","Not Buy","Not Buy"
"16",2018-01-30,"ETH-AUD",1462.79187,1322.546021,1464.313965,1310.606445,1322.546021,5072058239,"test","Not Buy","Not Buy"
"17",2018-01-31,"ETH-AUD",1322.496582,1387.653687,1393.063477,1283.02124,1387.653687,4662563672,"training","Not Buy","Not Buy"
"18",2018-02-01,"ETH-AUD",1388.968872,1289.700317,1444.824585,1225.051636,1289.700317,6545192347,"training","Not Buy","Not Buy"
"19",2018-02-02,"ETH-AUD",1288.431396,1155.418823,1288.912476,943.935242,1155.418823,8469959929,"training","Not Buy","Not Buy"
"20",2018-02-03,"ETH-AUD",1159.741333,1216.274292,1251.505127,1069.505371,1216.274292,4092202957,"training","Not Buy","Not Buy"
"21",2018-02-04,"ETH-AUD",1217.091797,1056.02478,1222.598999,1018.423828,1056.02478,3791864939,"training","Not Buy","Buy"
"22",2018-02-05,"ETH-AUD",1056.374023,886.174438,1080.123535,815.94812,886.174438,5420937166,"training","Buy","Buy"
"23",2018-02-06,"ETH-AUD",898.599548,1004.842285,1009.172607,730.53418,1004.842285,8258292096,"training","Buy","Buy"
"24",2018-02-07,"ETH-AUD",1001.429077,968.861023,1082.263184,917.712769,968.861023,4986153017,"training","Not Buy","Buy"
"25",2018-02-08,"ETH-AUD",967.293335,1050.355835,1081.640869,966.427612,1050.355835,4762638006,"training","Not Buy","Not Buy"
"26",2018-02-09,"ETH-AUD",1051.220093,1131.564453,1131.742432,1014.447021,1131.564453,3195263131,"test","Not Buy","Not Buy"
"27",2018-02-10,"ETH-AUD",1129.774658,1101.542725,1174.497559,1056.941528,1101.542725,3751798806,"training","Not Buy","Not Buy"
