"","date","currency","open","close","high","low","adj","volume","test","true","pred"
"1",2018-01-15,"LINK-AUD",1.273492,1.1029,1.309203,1.065857,1.1029,10494169,"training","Not Buy","Not Buy"
"2",2018-01-16,"LINK-AUD",1.108032,0.949125,1.108032,0.659324,0.949125,11278368,"training","Buy","Buy"
"3",2018-01-17,"LINK-AUD",0.943346,0.87647,0.963988,0.601709,0.87647,9608292,"training","Buy","Buy"
"4",2018-01-18,"LINK-AUD",0.881262,0.929706,1.025801,0.866767,0.929706,7437626,"training","Not Buy","Buy"
"5",2018-01-19,"LINK-AUD",0.923385,1.017403,1.133725,0.877269,1.017403,9241214,"training","Not Buy","Not Buy"
"6",2018-01-20,"LINK-AUD",1.027126,1.526033,1.526033,1.008134,1.526033,17332790,"training","Not Buy","Not Buy"
"7",2018-01-21,"LINK-AUD",1.496421,1.109646,1.496421,1.051266,1.109646,28376327,"training","Not Buy","Not Buy"
"8",2018-01-22,"LINK-AUD",1.132101,1.002695,1.268556,0.916606,1.002695,15497189,"training","Not Buy","Not Buy"
"9",2018-01-23,"LINK-AUD",1.001917,1.00202,1.080304,0.902832,1.00202,9437623,"training","Not Buy","Not Buy"
"10",2018-01-24,"LINK-AUD",0.998186,0.984923,1.034114,0.957146,0.984923,8014459,"training","Not Buy","Not Buy"
"11",2018-01-25,"LINK-AUD",0.994265,0.947231,1.028868,0.890399,0.947231,7812531,"training","Not Buy","Buy"
"12",2018-01-26,"LINK-AUD",0.942714,0.875389,0.978359,0.839632,0.875389,6928449,"test","Not Buy","Buy"
"13",2018-01-27,"LINK-AUD",0.876755,0.962727,1.043745,0.850543,0.962727,18393636,"training","Not Buy","Buy"
"14",2018-01-28,"LINK-AUD",0.973645,0.937162,1.055535,0.927362,0.937162,11131567,"test","Not Buy","Buy"
"15",2018-01-29,"LINK-AUD",0.932478,0.861905,0.938764,0.847239,0.861905,6448820,"training","Not Buy","Buy"
"16",2018-01-30,"LINK-AUD",0.864738,0.736854,0.864738,0.696504,0.736854,6912631,"training","Not Buy","Buy"
"17",2018-01-31,"LINK-AUD",0.739439,0.769507,0.771443,0.701914,0.769507,8632597,"training","Not Buy","Buy"
"18",2018-02-01,"LINK-AUD",0.769275,0.647278,0.774796,0.597397,0.647278,8216979,"training","Not Buy","Buy"
