"","date","currency","open","close","high","low","adj","volume","test","true","pred"
"1",2018-01-15,"LTC-AUD",300.099915,292.503143,307.793976,292.503143,292.503143,756182437,"training","Not Buy","Not Buy"
"2",2018-01-16,"LTC-AUD",292.55719,236.299866,292.55719,191.370941,236.299866,1762948496,"training","Buy","Buy"
"3",2018-01-17,"LTC-AUD",238.575912,233.99324,248.355087,177.011047,233.99324,1784581588,"training","Buy","Buy"
"4",2018-01-18,"LTC-AUD",234.536453,240.895691,259.256104,221.619247,240.895691,1170248594,"training","Not Buy","Buy"
"5",2018-01-19,"LTC-AUD",238.840729,241.506882,252.3414,233.351639,241.506882,701231579,"training","Not Buy","Not Buy"
"6",2018-01-20,"LTC-AUD",243.276596,264.102631,268.570709,243.276596,264.102631,676828515,"training","Not Buy","Not Buy"
"7",2018-01-21,"LTC-AUD",264.374207,237.996506,264.374207,231.083862,237.996506,579322584,"training","Not Buy","Not Buy"
"8",2018-01-22,"LTC-AUD",239.707535,224.813278,244.240677,208.239319,224.813278,617073820,"training","Not Buy","Not Buy"
"9",2018-01-23,"LTC-AUD",225.151749,222.175446,233.495422,208.146194,222.175446,551999240,"training","Not Buy","Not Buy"
"10",2018-01-24,"LTC-AUD",222.947647,223.586334,230.972107,216.823502,223.586334,467017381,"training","Not Buy","Not Buy"
"11",2018-01-25,"LTC-AUD",225.544098,224.554062,228.466003,217.876205,224.554062,452339292,"training","Not Buy","Not Buy"
"12",2018-01-26,"LTC-AUD",223.989792,217.947952,227.307983,206.787125,217.947952,463037356,"test","Not Buy","Not Buy"
"13",2018-01-27,"LTC-AUD",217.857925,223.068192,225.865097,215.66037,223.068192,359641129,"training","Not Buy","Not Buy"
"14",2018-01-28,"LTC-AUD",223.727966,238.867676,240.225815,223.727966,238.867676,447899221,"test","Not Buy","Not Buy"
"15",2018-01-29,"LTC-AUD",238.727219,224.41507,239.627716,221.383392,224.41507,374998137,"training","Not Buy","Not Buy"
"16",2018-01-30,"LTC-AUD",224.144547,204.069641,224.373306,201.77475,204.069641,534914196,"training","Not Buy","Not Buy"
"17",2018-01-31,"LTC-AUD",204.094345,202.693878,205.977066,195.226013,202.693878,450791651,"training","Not Buy","Not Buy"
"18",2018-02-01,"LTC-AUD",203.104614,177.008331,205.877823,163.616928,177.008331,671576066,"training","Buy","Buy"
"19",2018-02-02,"LTC-AUD",177.337967,165.757004,177.404175,131.946396,165.757004,1028942679,"training","Buy","Buy"
"20",2018-02-03,"LTC-AUD",165.78476,202.182693,208.875839,152.871567,202.182693,867620529,"training","Not Buy","Not Buy"
"21",2018-02-04,"LTC-AUD",202.347961,187.27858,219.273285,176.716003,187.27858,1272874493,"training","Not Buy","Not Buy"
"22",2018-02-05,"LTC-AUD",188.166763,159.128998,193.574585,149.553162,159.128998,1072470817,"training","Not Buy","Buy"
"23",2018-02-06,"LTC-AUD",161.910873,181.161789,185.118454,136.009155,181.161789,1454972740,"training","Not Buy","Not Buy"
"24",2018-02-07,"LTC-AUD",180.516907,176.865891,200.76033,166.845108,176.865891,1046593294,"test","Not Buy","Buy"
"25",2018-02-08,"LTC-AUD",177.036087,191.967636,193.371292,176.87764,191.967636,1116371661,"training","Not Buy","Not Buy"
"26",2018-02-09,"LTC-AUD",192.306702,209.896301,209.934708,183.36676,209.896301,924599912,"training","Not Buy","Not Buy"
"27",2018-02-10,"LTC-AUD",209.30484,199.197296,216.78273,190.940979,199.197296,737841505,"training","Not Buy","Not Buy"
"28",2018-02-11,"LTC-AUD",198.939957,190.524307,199.373962,182.577118,190.524307,633913043,"test","Not Buy","Buy"
"29",2018-02-12,"LTC-AUD",191.948853,205.633179,207.848343,191.997955,205.633179,681825144,"training","Not Buy","Not Buy"
"30",2018-02-13,"LTC-AUD",205.899185,202.969086,206.76683,195.157639,202.969086,615020989,"training","Not Buy","Not Buy"
"31",2018-02-14,"LTC-AUD",203.000885,269.154785,280.610779,203.026718,269.154785,3006610359,"training","Not Buy","Not Buy"
"32",2018-02-15,"LTC-AUD",267.878143,283.840332,299.971008,265.861755,283.840332,2628166688,"training","Not Buy","Not Buy"
"33",2018-02-16,"LTC-AUD",283.933533,290.891144,297.94043,266.711456,290.891144,1643395252,"test","Not Buy","Not Buy"
"34",2018-02-17,"LTC-AUD",290.104919,290.058136,295.09671,285.176331,290.058136,1091393027,"training","Not Buy","Not Buy"
"35",2018-02-18,"LTC-AUD",291.377838,272.703827,294.076599,271.088348,272.703827,1278119074,"training","Not Buy","Not Buy"
"36",2018-02-19,"LTC-AUD",272.298065,282.029327,287.009338,272.078064,282.029327,970536088,"training","Not Buy","Not Buy"
"37",2018-02-20,"LTC-AUD",282.067261,295.533691,320.537811,281.40509,295.533691,2207983266,"test","Not Buy","Not Buy"
"38",2018-02-21,"LTC-AUD",293.118408,273.633453,298.971313,266.792236,273.633453,1533692486,"training","Not Buy","Not Buy"
"39",2018-02-22,"LTC-AUD",272.978058,249.212708,285.343933,245.124603,249.212708,1243306122,"test","Buy","Buy"
"40",2018-02-23,"LTC-AUD",247.789963,266.873657,276.808411,235.022995,266.873657,1358765778,"training","Buy","Not Buy"
"41",2018-02-24,"LTC-AUD",268.566864,267.017731,280.896362,252.306519,267.017731,1195093714,"training","Not Buy","Not Buy"
"42",2018-02-25,"LTC-AUD",265.372955,281.289886,287.763458,258.019897,281.289886,1312311834,"training","Not Buy","Not Buy"
"43",2018-02-26,"LTC-AUD",283.411591,281.552002,298.925018,277.302216,281.552002,1652752375,"test","Not Buy","Not Buy"
"44",2018-02-27,"LTC-AUD",282.505096,277.94046,285.980865,274.467194,277.94046,1099004255,"training","Not Buy","Not Buy"
"45",2018-02-28,"LTC-AUD",278.813049,261.395264,286.992798,261.118103,261.395264,980832239,"training","Not Buy","Not Buy"
"46",2018-03-01,"LTC-AUD",261.683838,270.157135,277.890228,259.618713,270.157135,873959319,"training","Not Buy","Not Buy"
"47",2018-03-02,"LTC-AUD",269.905975,273.700745,274.438568,264.566132,273.700745,807548308,"training","Not Buy","Not Buy"
