"","date","currency","open","close","high","low","adj","volume","test","true","pred"
"1",2018-01-15,"TRX-AUD",0.10736,0.095117,0.123063,0.085098,0.095117,1273473254,"training","Buy","Not Buy"
"2",2018-01-16,"TRX-AUD",0.095558,0.068366,0.095907,0.050955,0.068366,872407769,"training","Buy","Not Buy"
"3",2018-01-17,"TRX-AUD",0.067499,0.094873,0.105519,0.056052,0.094873,1664245369,"training","Not Buy","Not Buy"
"4",2018-01-18,"TRX-AUD",0.095888,0.103909,0.138653,0.092341,0.103909,1739325401,"training","Not Buy","Not Buy"
"5",2018-01-19,"TRX-AUD",0.102946,0.10075,0.11007,0.091073,0.10075,884257802,"training","Not Buy","Not Buy"
"6",2018-01-20,"TRX-AUD",0.101575,0.106635,0.111044,0.100886,0.106635,784028755,"training","Not Buy","Not Buy"
"7",2018-01-21,"TRX-AUD",0.106218,0.088972,0.107256,0.08557,0.088972,701486074,"training","Not Buy","Not Buy"
"8",2018-01-22,"TRX-AUD",0.089923,0.089187,0.103564,0.079619,0.089187,779027071,"training","Not Buy","Not Buy"
"9",2018-01-23,"TRX-AUD",0.088935,0.085682,0.092787,0.079009,0.085682,511798075,"training","Not Buy","Not Buy"
"10",2018-01-24,"TRX-AUD",0.085713,0.087479,0.092015,0.083673,0.087479,627911791,"training","Not Buy","Not Buy"
"11",2018-01-25,"TRX-AUD",0.088512,0.085657,0.091032,0.082938,0.085657,451542082,"training","Not Buy","Not Buy"
"12",2018-01-26,"TRX-AUD",0.085451,0.082168,0.08819,0.074702,0.082168,470344042,"test","Not Buy","Not Buy"
"13",2018-01-27,"TRX-AUD",0.082001,0.084378,0.085616,0.080125,0.084378,348448627,"training","Not Buy","Not Buy"
"14",2018-01-28,"TRX-AUD",0.084987,0.080698,0.087403,0.080277,0.080698,340464504,"test","Not Buy","Not Buy"
"15",2018-01-29,"TRX-AUD",0.08062,0.079062,0.082512,0.077956,0.079062,317326744,"training","Not Buy","Not Buy"
"16",2018-01-30,"TRX-AUD",0.079141,0.06638,0.079258,0.063838,0.06638,329825904,"training","Not Buy","Not Buy"
"17",2018-01-31,"TRX-AUD",0.066623,0.067569,0.067569,0.06156,0.067569,311553532,"training","Not Buy","Not Buy"
"18",2018-02-01,"TRX-AUD",0.067941,0.057504,0.072749,0.053683,0.057504,359069536,"training","Not Buy","Not Buy"
"19",2018-02-02,"TRX-AUD",0.057274,0.051475,0.057295,0.038932,0.051475,459158455,"training","Not Buy","Not Buy"
"20",2018-02-03,"TRX-AUD",0.051772,0.056109,0.059725,0.044259,0.056109,305234660,"training","Not Buy","Not Buy"
"21",2018-02-04,"TRX-AUD",0.056175,0.047992,0.058062,0.045602,0.047992,215031619,"training","Not Buy","Not Buy"
"22",2018-02-05,"TRX-AUD",0.047811,0.038295,0.049064,0.035512,0.038295,212413651,"training","Buy","Not Buy"
"23",2018-02-06,"TRX-AUD",0.038557,0.046215,0.046846,0.03195,0.046215,343481586,"training","Buy","Not Buy"
"24",2018-02-07,"TRX-AUD",0.045908,0.041907,0.049538,0.040489,0.041907,261325825,"test","Not Buy","Not Buy"
"25",2018-02-08,"TRX-AUD",0.041807,0.047168,0.048698,0.041769,0.047168,248442065,"training","Not Buy","Not Buy"
"26",2018-02-09,"TRX-AUD",0.047245,0.06141,0.06141,0.044942,0.06141,225788001,"training","Not Buy","Not Buy"
"27",2018-02-10,"TRX-AUD",0.060715,0.062347,0.071619,0.05733,0.062347,602239139,"training","Not Buy","Not Buy"
"28",2018-02-11,"TRX-AUD",0.062174,0.054221,0.062174,0.051295,0.054221,349850393,"test","Not Buy","Not Buy"
"29",2018-02-12,"TRX-AUD",0.05448,0.058695,0.060647,0.054494,0.058695,278885070,"training","Not Buy","Not Buy"
"30",2018-02-13,"TRX-AUD",0.058678,0.055153,0.059191,0.054049,0.055153,227656776,"training","Not Buy","Not Buy"
"31",2018-02-14,"TRX-AUD",0.055076,0.057949,0.060042,0.054631,0.057949,235473697,"training","Not Buy","Not Buy"
"32",2018-02-15,"TRX-AUD",0.057932,0.058544,0.060944,0.056885,0.058544,225274479,"training","Not Buy","Not Buy"
"33",2018-02-16,"TRX-AUD",0.058535,0.066298,0.06687,0.058419,0.066298,392507890,"test","Not Buy","Not Buy"
"34",2018-02-17,"TRX-AUD",0.065927,0.069414,0.069414,0.064428,0.069414,293247377,"training","Not Buy","Not Buy"
"35",2018-02-18,"TRX-AUD",0.069441,0.062705,0.069916,0.06157,0.062705,246546590,"training","Not Buy","Not Buy"
"36",2018-02-19,"TRX-AUD",0.062641,0.065169,0.066524,0.062359,0.065169,225668215,"training","Not Buy","Not Buy"
"37",2018-02-20,"TRX-AUD",0.065162,0.059476,0.065958,0.059124,0.059476,251571255,"test","Not Buy","Not Buy"
"38",2018-02-21,"TRX-AUD",0.059537,0.057176,0.06143,0.054834,0.057176,229643442,"training","Not Buy","Not Buy"
"39",2018-02-22,"TRX-AUD",0.057023,0.0519,0.059078,0.050428,0.0519,207647048,"training","Not Buy","Not Buy"
"40",2018-02-23,"TRX-AUD",0.05139,0.054666,0.055757,0.049986,0.054666,203851832,"training","Not Buy","Not Buy"
"41",2018-02-24,"TRX-AUD",0.054642,0.052186,0.058151,0.050203,0.052186,248365411,"test","Not Buy","Not Buy"
"42",2018-02-25,"TRX-AUD",0.052048,0.050885,0.053045,0.049863,0.050885,232533809,"test","Buy","Not Buy"
"43",2018-02-26,"TRX-AUD",0.050905,0.053222,0.054683,0.049523,0.053222,242069317,"training","Buy","Not Buy"
"44",2018-02-27,"TRX-AUD",0.053251,0.054833,0.055312,0.052413,0.054833,282041586,"training","Not Buy","Not Buy"
"45",2018-02-28,"TRX-AUD",0.054839,0.05585,0.059754,0.0521,0.05585,384898242,"training","Not Buy","Not Buy"
"46",2018-03-01,"TRX-AUD",0.05606,0.062914,0.063385,0.054766,0.062914,409880226,"training","Not Buy","Not Buy"
"47",2018-03-02,"TRX-AUD",0.062725,0.068177,0.07272,0.061341,0.068177,1061764120,"training","Not Buy","Not Buy"
"48",2018-03-03,"TRX-AUD",0.067634,0.06299,0.067908,0.061487,0.06299,514041967,"test","Not Buy","Not Buy"
"49",2018-03-04,"TRX-AUD",0.062824,0.061639,0.063965,0.060729,0.061639,405736933,"test","Not Buy","Not Buy"
"50",2018-03-05,"TRX-AUD",0.06158,0.060248,0.061805,0.059981,0.060248,366710437,"test","Not Buy","Not Buy"
"51",2018-03-06,"TRX-AUD",0.060205,0.056473,0.061264,0.055977,0.056473,336910339,"training","Not Buy","Not Buy"
"52",2018-03-07,"TRX-AUD",0.056455,0.049324,0.057533,0.04467,0.049324,370807544,"training","Not Buy","Buy"
"53",2018-03-08,"TRX-AUD",0.049179,0.046765,0.050775,0.045327,0.046765,303327769,"training","Not Buy","Buy"
"54",2018-03-09,"TRX-AUD",0.046686,0.047109,0.047646,0.039545,0.047109,376087887,"test","Not Buy","Not Buy"
"55",2018-03-10,"TRX-AUD",0.047058,0.044494,0.04864,0.043929,0.044494,322862430,"training","Not Buy","Not Buy"
"56",2018-03-11,"TRX-AUD",0.044269,0.049257,0.050064,0.042664,0.049257,338857506,"training","Not Buy","Not Buy"
"57",2018-03-12,"TRX-AUD",0.04906,0.045905,0.050265,0.043976,0.045905,290388758,"training","Not Buy","Not Buy"
"58",2018-03-13,"TRX-AUD",0.045697,0.045465,0.047151,0.043775,0.045465,255187070,"training","Not Buy","Not Buy"
"59",2018-03-14,"TRX-AUD",0.045432,0.039412,0.046201,0.038396,0.039412,250515228,"training","Not Buy","Buy"
"60",2018-03-15,"TRX-AUD",0.0394,0.038678,0.039581,0.036073,0.038678,217730843,"test","Not Buy","Buy"
"61",2018-03-16,"TRX-AUD",0.038588,0.039044,0.040504,0.037187,0.039044,193616800,"training","Not Buy","Not Buy"
"62",2018-03-17,"TRX-AUD",0.039103,0.036762,0.039291,0.036301,0.036762,150987814,"training","Buy","Buy"
"63",2018-03-18,"TRX-AUD",0.036668,0.037088,0.038095,0.029968,0.037088,165065439,"training","Buy","Not Buy"
"64",2018-03-19,"TRX-AUD",0.037541,0.041993,0.042834,0.036646,0.041993,238213322,"training","Not Buy","Not Buy"
"65",2018-03-20,"TRX-AUD",0.042466,0.049568,0.05253,0.040817,0.049568,325656121,"training","Not Buy","Not Buy"
"66",2018-03-21,"TRX-AUD",0.049532,0.047732,0.052026,0.047127,0.047732,299621816,"test","Not Buy","Not Buy"
"67",2018-03-22,"TRX-AUD",0.047799,0.049284,0.050396,0.044794,0.049284,295610136,"test","Not Buy","Not Buy"
"68",2018-03-23,"TRX-AUD",0.049192,0.053453,0.053453,0.045476,0.053453,299030665,"training","Not Buy","Not Buy"
"69",2018-03-24,"TRX-AUD",0.054206,0.064682,0.068852,0.053393,0.064682,918569397,"training","Not Buy","Not Buy"
"70",2018-03-25,"TRX-AUD",0.064213,0.058784,0.064465,0.058245,0.058784,415710970,"training","Not Buy","Not Buy"
"71",2018-03-26,"TRX-AUD",0.058823,0.057233,0.06022,0.051022,0.057233,422200175,"training","Not Buy","Not Buy"
"72",2018-03-27,"TRX-AUD",0.057226,0.056044,0.059811,0.052315,0.056044,357676315,"training","Not Buy","Not Buy"
"73",2018-03-28,"TRX-AUD",0.055757,0.063722,0.064654,0.055382,0.063722,366578775,"training","Not Buy","Not Buy"
"74",2018-03-29,"TRX-AUD",0.063916,0.055978,0.065881,0.055978,0.055978,628873980,"training","Not Buy","Not Buy"
"75",2018-03-30,"TRX-AUD",0.055494,0.053775,0.059225,0.050907,0.053775,455227972,"training","Not Buy","Not Buy"
"76",2018-03-31,"TRX-AUD",0.053781,0.044257,0.055981,0.043761,0.044257,467029702,"training","Buy","Not Buy"
"77",2018-04-01,"TRX-AUD",0.044235,0.041859,0.045391,0.037268,0.041859,285604728,"training","Buy","Not Buy"
"78",2018-04-02,"TRX-AUD",0.042014,0.046726,0.046726,0.040413,0.046726,315084955,"training","Not Buy","Not Buy"
"79",2018-04-03,"TRX-AUD",0.046642,0.045308,0.046613,0.043615,0.045308,313250878,"training","Not Buy","Not Buy"
"80",2018-04-04,"TRX-AUD",0.045155,0.039037,0.045749,0.038597,0.039037,203975378,"training","Not Buy","Not Buy"
"81",2018-04-05,"TRX-AUD",0.038984,0.052183,0.065147,0.03766,0.052183,1941497089,"test","Not Buy","Not Buy"
"82",2018-04-06,"TRX-AUD",0.051244,0.048102,0.057466,0.046682,0.048102,862497688,"training","Not Buy","Not Buy"
"83",2018-04-07,"TRX-AUD",0.048051,0.048291,0.049707,0.047247,0.048291,319653420,"test","Not Buy","Not Buy"
"84",2018-04-08,"TRX-AUD",0.048179,0.049026,0.050403,0.047863,0.049026,281022657,"training","Not Buy","Not Buy"
"85",2018-04-09,"TRX-AUD",0.049043,0.046443,0.049435,0.044717,0.046443,383316025,"training","Not Buy","Not Buy"
"86",2018-04-10,"TRX-AUD",0.046489,0.047569,0.048015,0.045306,0.047569,391036949,"training","Not Buy","Not Buy"
"87",2018-04-11,"TRX-AUD",0.04747,0.046729,0.048266,0.046423,0.046729,388352239,"training","Not Buy","Not Buy"
"88",2018-04-12,"TRX-AUD",0.046564,0.051005,0.051419,0.045475,0.051005,536234358,"training","Not Buy","Not Buy"
"89",2018-04-13,"TRX-AUD",0.050812,0.050226,0.055474,0.049233,0.050226,623958300,"training","Not Buy","Not Buy"
"90",2018-04-14,"TRX-AUD",0.049813,0.05152,0.053457,0.049661,0.05152,396053319,"training","Not Buy","Not Buy"
"91",2018-04-15,"TRX-AUD",0.051587,0.055289,0.0557,0.051523,0.055289,394058178,"test","Not Buy","Not Buy"
"92",2018-04-16,"TRX-AUD",0.055196,0.053076,0.056438,0.051751,0.053076,381240169,"training","Not Buy","Not Buy"
"93",2018-04-17,"TRX-AUD",0.053101,0.054231,0.055921,0.052381,0.054231,462414380,"test","Not Buy","Not Buy"
"94",2018-04-18,"TRX-AUD",0.05409,0.061026,0.061026,0.054063,0.061026,610538055,"training","Not Buy","Not Buy"
"95",2018-04-19,"TRX-AUD",0.060909,0.063988,0.066684,0.060226,0.063988,760660686,"test","Not Buy","Not Buy"
"96",2018-04-20,"TRX-AUD",0.063653,0.069978,0.069978,0.06249,0.069978,622783582,"training","Not Buy","Not Buy"
"97",2018-04-21,"TRX-AUD",0.06996,0.069983,0.073819,0.064825,0.069983,933310331,"test","Not Buy","Not Buy"
"98",2018-04-22,"TRX-AUD",0.069631,0.068442,0.071069,0.067584,0.068442,417067502,"test","Not Buy","Not Buy"
"99",2018-04-23,"TRX-AUD",0.068456,0.077034,0.077034,0.068386,0.077034,621663157,"training","Not Buy","Not Buy"
"100",2018-04-24,"TRX-AUD",0.076775,0.096463,0.101933,0.0753,0.096463,2052623316,"training","Not Buy","Not Buy"
"101",2018-04-25,"TRX-AUD",0.094255,0.092538,0.107307,0.087688,0.092538,2807877430,"training","Not Buy","Not Buy"
"102",2018-04-26,"TRX-AUD",0.092497,0.098737,0.098737,0.08813,0.098737,1005478050,"test","Not Buy","Not Buy"
"103",2018-04-27,"TRX-AUD",0.099171,0.097648,0.104646,0.095114,0.097648,946359778,"training","Not Buy","Not Buy"
"104",2018-04-28,"TRX-AUD",0.097345,0.107705,0.111083,0.097345,0.107705,947372703,"training","Not Buy","Not Buy"
"105",2018-04-29,"TRX-AUD",0.10775,0.11773,0.119138,0.106415,0.11773,1533887966,"test","Not Buy","Not Buy"
"106",2018-04-30,"TRX-AUD",0.118405,0.124521,0.134285,0.113846,0.124521,2323250479,"test","Not Buy","Not Buy"
"107",2018-05-01,"TRX-AUD",0.124479,0.124797,0.125055,0.116116,0.124797,1394693201,"training","Not Buy","Not Buy"
"108",2018-05-02,"TRX-AUD",0.124,0.122107,0.124382,0.120312,0.122107,536414140,"training","Not Buy","Not Buy"
"109",2018-05-03,"TRX-AUD",0.122006,0.116052,0.122113,0.112381,0.116052,1048566271,"test","Not Buy","Not Buy"
"110",2018-05-04,"TRX-AUD",0.115712,0.115087,0.118001,0.108067,0.115087,963881744,"test","Not Buy","Not Buy"
"111",2018-05-05,"TRX-AUD",0.114294,0.115474,0.120476,0.11426,0.115474,632033684,"training","Not Buy","Not Buy"
"112",2018-05-06,"TRX-AUD",0.115469,0.112692,0.115469,0.108587,0.112692,516691490,"training","Not Buy","Not Buy"
"113",2018-05-07,"TRX-AUD",0.112941,0.110516,0.112926,0.105725,0.110516,548558148,"training","Not Buy","Not Buy"
"114",2018-05-08,"TRX-AUD",0.11094,0.11158,0.11476,0.108446,0.11158,499748835,"training","Not Buy","Not Buy"
"115",2018-05-09,"TRX-AUD",0.111456,0.108631,0.111516,0.10609,0.108631,479966485,"training","Not Buy","Not Buy"
"116",2018-05-10,"TRX-AUD",0.108632,0.097785,0.10919,0.097205,0.097785,468650972,"training","Not Buy","Not Buy"
"117",2018-05-11,"TRX-AUD",0.097822,0.087445,0.102576,0.084588,0.087445,1109269220,"training","Buy","Not Buy"
"118",2018-05-12,"TRX-AUD",0.087774,0.091155,0.095008,0.080419,0.091155,815880657,"training","Buy","Not Buy"
"119",2018-05-13,"TRX-AUD",0.091715,0.10015,0.102136,0.090162,0.10015,796111258,"training","Not Buy","Not Buy"
"120",2018-05-14,"TRX-AUD",0.100806,0.096812,0.100752,0.093543,0.096812,616556309,"training","Not Buy","Not Buy"
"121",2018-05-15,"TRX-AUD",0.096847,0.091825,0.097807,0.090471,0.091825,385198875,"training","Not Buy","Not Buy"
"122",2018-05-16,"TRX-AUD",0.091323,0.095722,0.096027,0.085817,0.095722,655043235,"training","Not Buy","Not Buy"
"123",2018-05-17,"TRX-AUD",0.095666,0.089868,0.097364,0.088271,0.089868,405418422,"training","Not Buy","Not Buy"
"124",2018-05-18,"TRX-AUD",0.089316,0.09238,0.092595,0.08652,0.09238,350559169,"training","Not Buy","Not Buy"
"125",2018-05-19,"TRX-AUD",0.092505,0.092057,0.093948,0.090026,0.092057,275437347,"training","Not Buy","Not Buy"
"126",2018-05-20,"TRX-AUD",0.092224,0.102724,0.103985,0.091164,0.102724,625454676,"training","Not Buy","Not Buy"
"127",2018-05-21,"TRX-AUD",0.103297,0.108677,0.112685,0.102874,0.108677,1058354912,"training","Not Buy","Not Buy"
"128",2018-05-22,"TRX-AUD",0.108513,0.098745,0.109662,0.098009,0.098745,657740828,"test","Not Buy","Not Buy"
"129",2018-05-23,"TRX-AUD",0.099066,0.09233,0.101692,0.090007,0.09233,803780610,"training","Not Buy","Not Buy"
"130",2018-05-24,"TRX-AUD",0.092646,0.096571,0.098317,0.090874,0.096571,776723498,"training","Not Buy","Not Buy"
"131",2018-05-25,"TRX-AUD",0.096711,0.094384,0.096827,0.091681,0.094384,399257161,"training","Not Buy","Not Buy"
"132",2018-05-26,"TRX-AUD",0.094103,0.096878,0.101065,0.093329,0.096878,442273559,"test","Not Buy","Not Buy"
"133",2018-05-27,"TRX-AUD",0.096638,0.093437,0.09726,0.091834,0.093437,412179735,"training","Not Buy","Not Buy"
"134",2018-05-28,"TRX-AUD",0.093504,0.080389,0.093597,0.079797,0.080389,654205455,"training","Not Buy","Not Buy"
"135",2018-05-29,"TRX-AUD",0.080976,0.086876,0.087866,0.07622,0.086876,761383103,"training","Not Buy","Not Buy"
"136",2018-05-30,"TRX-AUD",0.08701,0.082434,0.090838,0.079616,0.082434,612874483,"test","Not Buy","Not Buy"
"137",2018-05-31,"TRX-AUD",0.082478,0.08007,0.084658,0.078657,0.08007,491015728,"training","Buy","Not Buy"
"138",2018-06-01,"TRX-AUD",0.080165,0.077593,0.081455,0.074555,0.077593,354595569,"training","Buy","Not Buy"
"139",2018-06-02,"TRX-AUD",0.077739,0.080867,0.083581,0.076313,0.080867,392705514,"training","Not Buy","Not Buy"
"140",2018-06-03,"TRX-AUD",0.080832,0.081906,0.083791,0.080326,0.081906,330983227,"training","Not Buy","Not Buy"
"141",2018-06-04,"TRX-AUD",0.081959,0.077348,0.082427,0.076175,0.077348,283349899,"training","Not Buy","Not Buy"
"142",2018-06-05,"TRX-AUD",0.077401,0.079466,0.0798,0.075187,0.079466,289231263,"training","Not Buy","Not Buy"
"143",2018-06-06,"TRX-AUD",0.079524,0.077526,0.07953,0.076216,0.077526,245744486,"test","Not Buy","Not Buy"
"144",2018-06-07,"TRX-AUD",0.077558,0.077261,0.078723,0.076588,0.077261,216466570,"training","Not Buy","Not Buy"
"145",2018-06-08,"TRX-AUD",0.077079,0.075749,0.077184,0.075093,0.075749,231743191,"test","Not Buy","Not Buy"
"146",2018-06-09,"TRX-AUD",0.075937,0.075197,0.077912,0.075197,0.075197,225718973,"test","Not Buy","Not Buy"
"147",2018-06-10,"TRX-AUD",0.075172,0.06317,0.075172,0.060372,0.06317,434551914,"training","Not Buy","Buy"
"148",2018-06-11,"TRX-AUD",0.062982,0.064232,0.064575,0.060024,0.064232,334389644,"training","Not Buy","Buy"
"149",2018-06-12,"TRX-AUD",0.064156,0.05807,0.064194,0.056601,0.05807,263315299,"training","Buy","Buy"
"150",2018-06-13,"TRX-AUD",0.058104,0.054872,0.058647,0.051236,0.054872,320232527,"training","Buy","Buy"
"151",2018-06-14,"TRX-AUD",0.054775,0.06084,0.06122,0.053588,0.06084,379572683,"training","Not Buy","Not Buy"
"152",2018-06-15,"TRX-AUD",0.061108,0.057613,0.061728,0.057162,0.057613,282552087,"training","Not Buy","Not Buy"
"153",2018-06-16,"TRX-AUD",0.057518,0.058077,0.058709,0.056187,0.058077,184394570,"training","Not Buy","Not Buy"
"154",2018-06-17,"TRX-AUD",0.058007,0.057323,0.058601,0.057225,0.057323,153705645,"training","Not Buy","Not Buy"
"155",2018-06-18,"TRX-AUD",0.057217,0.060916,0.061569,0.055822,0.060916,233774156,"training","Not Buy","Not Buy"
"156",2018-06-19,"TRX-AUD",0.061026,0.066996,0.069382,0.060454,0.066996,488363784,"test","Not Buy","Not Buy"
"157",2018-06-20,"TRX-AUD",0.067101,0.067011,0.067288,0.061065,0.067011,543104034,"training","Not Buy","Not Buy"
"158",2018-06-21,"TRX-AUD",0.066756,0.065934,0.068005,0.064353,0.065934,291189324,"training","Not Buy","Not Buy"
"159",2018-06-22,"TRX-AUD",0.065921,0.057978,0.066295,0.056784,0.057978,325680107,"training","Not Buy","Not Buy"
"160",2018-06-23,"TRX-AUD",0.05817,0.05938,0.060109,0.057165,0.05938,203594086,"test","Not Buy","Not Buy"
"161",2018-06-24,"TRX-AUD",0.059404,0.057085,0.059595,0.051817,0.057085,316940037,"training","Not Buy","Not Buy"
"162",2018-06-25,"TRX-AUD",0.056993,0.057159,0.058591,0.055569,0.057159,197697395,"training","Not Buy","Not Buy"
"163",2018-06-26,"TRX-AUD",0.057231,0.051768,0.057333,0.051768,0.051768,126877283,"training","Not Buy","Buy"
"164",2018-06-27,"TRX-AUD",0.051666,0.053115,0.053766,0.051078,0.053115,136040326,"test","Not Buy","Not Buy"
"165",2018-06-28,"TRX-AUD",0.053252,0.049925,0.054058,0.049461,0.049925,141940359,"training","Buy","Buy"
"166",2018-06-29,"TRX-AUD",0.04979,0.050307,0.050825,0.046951,0.050307,202552002,"training","Buy","Not Buy"
"167",2018-06-30,"TRX-AUD",0.050364,0.051909,0.054042,0.050219,0.051909,246509051,"test","Not Buy","Not Buy"
"168",2018-07-01,"TRX-AUD",0.05193,0.051238,0.052309,0.049899,0.051238,151869083,"training","Not Buy","Not Buy"
"169",2018-07-02,"TRX-AUD",0.05091,0.053869,0.055155,0.050236,0.053869,237635584,"training","Not Buy","Not Buy"
"170",2018-07-03,"TRX-AUD",0.053868,0.052687,0.05539,0.052132,0.052687,246738522,"test","Not Buy","Not Buy"
"171",2018-07-04,"TRX-AUD",0.052666,0.05271,0.054512,0.050681,0.05271,179875321,"training","Not Buy","Not Buy"
"172",2018-07-05,"TRX-AUD",0.053123,0.051268,0.05387,0.050678,0.051268,160915368,"training","Not Buy","Not Buy"
"173",2018-07-06,"TRX-AUD",0.051243,0.049758,0.051279,0.047696,0.049758,160999865,"training","Not Buy","Buy"
"174",2018-07-07,"TRX-AUD",0.049693,0.051586,0.051586,0.04859,0.051586,129684166,"training","Not Buy","Not Buy"
"175",2018-07-08,"TRX-AUD",0.051554,0.049899,0.051929,0.049846,0.049899,141117686,"training","Not Buy","Not Buy"
"176",2018-07-09,"TRX-AUD",0.049902,0.047929,0.049952,0.047914,0.047929,193319052,"training","Not Buy","Buy"
"177",2018-07-10,"TRX-AUD",0.047966,0.045297,0.048216,0.044125,0.045297,179042481,"training","Not Buy","Buy"
"178",2018-07-11,"TRX-AUD",0.045211,0.045598,0.046596,0.044351,0.045598,234976903,"training","Buy","Buy"
"179",2018-07-12,"TRX-AUD",0.045586,0.043516,0.045593,0.04239,0.043516,218953540,"test","Buy","Buy"
"180",2018-07-13,"TRX-AUD",0.043584,0.044902,0.046479,0.043555,0.044902,241734680,"training","Not Buy","Not Buy"
"181",2018-07-14,"TRX-AUD",0.044839,0.045022,0.045561,0.043995,0.045022,229904377,"training","Not Buy","Not Buy"
"182",2018-07-15,"TRX-AUD",0.045012,0.046332,0.047076,0.044669,0.046332,243374690,"training","Not Buy","Not Buy"
"183",2018-07-16,"TRX-AUD",0.046385,0.050622,0.050622,0.046075,0.050622,284959525,"training","Not Buy","Not Buy"
"184",2018-07-17,"TRX-AUD",0.050532,0.053896,0.054912,0.048641,0.053896,309606875,"training","Not Buy","Not Buy"
"185",2018-07-18,"TRX-AUD",0.053742,0.053611,0.058164,0.052899,0.053611,384699908,"training","Not Buy","Not Buy"
"186",2018-07-19,"TRX-AUD",0.053333,0.051511,0.053742,0.051185,0.051511,351986132,"training","Not Buy","Not Buy"
"187",2018-07-20,"TRX-AUD",0.051491,0.047031,0.051491,0.046608,0.047031,303340080,"training","Not Buy","Not Buy"
"188",2018-07-21,"TRX-AUD",0.047069,0.04797,0.048926,0.045799,0.04797,283019391,"training","Not Buy","Not Buy"
"189",2018-07-22,"TRX-AUD",0.047889,0.047291,0.048962,0.047265,0.047291,255716967,"training","Not Buy","Not Buy"
"190",2018-07-23,"TRX-AUD",0.047252,0.046166,0.048667,0.046145,0.046166,263328815,"test","Buy","Not Buy"
"191",2018-07-24,"TRX-AUD",0.046192,0.051322,0.05235,0.044611,0.051322,435998642,"training","Buy","Not Buy"
"192",2018-07-25,"TRX-AUD",0.050907,0.049788,0.052404,0.048929,0.049788,297415493,"test","Not Buy","Not Buy"
"193",2018-07-26,"TRX-AUD",0.049751,0.048788,0.051858,0.048078,0.048788,258586326,"training","Not Buy","Not Buy"
"194",2018-07-27,"TRX-AUD",0.048709,0.04931,0.050027,0.047552,0.04931,295043890,"training","Not Buy","Not Buy"
"195",2018-07-28,"TRX-AUD",0.049312,0.049685,0.049802,0.048501,0.049685,248094015,"training","Not Buy","Not Buy"
"196",2018-07-29,"TRX-AUD",0.049693,0.053036,0.054767,0.049627,0.053036,419906742,"training","Not Buy","Not Buy"
"197",2018-07-30,"TRX-AUD",0.052847,0.049213,0.05331,0.047749,0.049213,343737005,"test","Not Buy","Not Buy"
"198",2018-07-31,"TRX-AUD",0.049276,0.045729,0.049256,0.045243,0.045729,284747270,"training","Not Buy","Not Buy"
"199",2018-08-01,"TRX-AUD",0.045784,0.044083,0.04587,0.042982,0.044083,189426063,"training","Not Buy","Not Buy"
"200",2018-08-02,"TRX-AUD",0.044128,0.042857,0.045021,0.041991,0.042857,201331702,"test","Not Buy","Not Buy"
"201",2018-08-03,"TRX-AUD",0.042843,0.041365,0.042776,0.04006,0.041365,209394430,"training","Not Buy","Not Buy"
"202",2018-08-04,"TRX-AUD",0.041359,0.039108,0.042151,0.038694,0.039108,173286023,"training","Not Buy","Not Buy"
"203",2018-08-05,"TRX-AUD",0.039108,0.041024,0.041453,0.038325,0.041024,168374137,"test","Not Buy","Not Buy"
"204",2018-08-06,"TRX-AUD",0.041091,0.039582,0.041946,0.039151,0.039582,160276273,"training","Not Buy","Not Buy"
"205",2018-08-07,"TRX-AUD",0.039563,0.03753,0.040363,0.03738,0.03753,156673400,"test","Not Buy","Not Buy"
"206",2018-08-08,"TRX-AUD",0.037483,0.032968,0.037467,0.032018,0.032968,198415028,"test","Not Buy","Buy"
"207",2018-08-09,"TRX-AUD",0.033033,0.035189,0.03598,0.032221,0.035189,193810363,"test","Not Buy","Not Buy"
"208",2018-08-10,"TRX-AUD",0.035085,0.032633,0.035393,0.03213,0.032633,183773972,"training","Not Buy","Not Buy"
"209",2018-08-11,"TRX-AUD",0.032629,0.030979,0.0327,0.030285,0.030979,163434246,"training","Not Buy","Not Buy"
"210",2018-08-12,"TRX-AUD",0.031003,0.030988,0.031757,0.030764,0.030988,139774941,"training","Not Buy","Not Buy"
"211",2018-08-13,"TRX-AUD",0.031063,0.026651,0.031687,0.026442,0.026651,170740536,"test","Buy","Buy"
"212",2018-08-14,"TRX-AUD",0.026765,0.02635,0.026877,0.022912,0.02635,149798147,"training","Buy","Not Buy"
"213",2018-08-15,"TRX-AUD",0.026488,0.026892,0.028791,0.026488,0.026892,188791147,"training","Not Buy","Not Buy"
"214",2018-08-16,"TRX-AUD",0.026888,0.026903,0.027625,0.026475,0.026903,142753583,"training","Not Buy","Not Buy"
"215",2018-08-17,"TRX-AUD",0.026896,0.031821,0.03193,0.026774,0.031821,208180699,"training","Not Buy","Not Buy"
"216",2018-08-18,"TRX-AUD",0.03199,0.02955,0.033559,0.028144,0.02955,193559322,"training","Not Buy","Not Buy"
"217",2018-08-19,"TRX-AUD",0.029484,0.030481,0.031179,0.028717,0.030481,132991648,"test","Not Buy","Not Buy"
"218",2018-08-20,"TRX-AUD",0.030444,0.028172,0.031078,0.027831,0.028172,135632942,"training","Not Buy","Not Buy"
