"","date","currency","open","close","high","low","adj","volume","test","true","pred"
"1",2018-01-15,"USDT-AUD",1.284166,1.264916,1.288861,1.260184,1.264916,3213344940,"training","Not Buy","Not Buy"
"2",2018-01-16,"USDT-AUD",1.265104,1.297553,1.314636,1.257079,1.297553,6967289575,"training","Not Buy","Not Buy"
"3",2018-01-17,"USDT-AUD",1.295947,1.272776,1.343239,1.2503,1.272776,7011466486,"training","Not Buy","Not Buy"
"4",2018-01-18,"USDT-AUD",1.276201,1.278089,1.300688,1.258826,1.278089,5374516127,"training","Not Buy","Not Buy"
"5",2018-01-19,"USDT-AUD",1.278351,1.257246,1.301149,1.253896,1.257246,3600738362,"training","Not Buy","Not Buy"
"6",2018-01-20,"USDT-AUD",1.260313,1.252954,1.268461,1.240855,1.252954,3683078728,"training","Not Buy","Not Buy"
"7",2018-01-21,"USDT-AUD",1.255219,1.24967,1.284869,1.247896,1.24967,4126996765,"training","Not Buy","Not Buy"
"8",2018-01-22,"USDT-AUD",1.254843,1.255202,1.271912,1.236914,1.255202,4090046169,"training","Not Buy","Not Buy"
"9",2018-01-23,"USDT-AUD",1.253903,1.255841,1.276487,1.232441,1.255841,3907072447,"training","Not Buy","Not Buy"
"10",2018-01-24,"USDT-AUD",1.250581,1.239111,1.277991,1.230311,1.239111,3255441013,"test","Not Buy","Not Buy"
"11",2018-01-25,"USDT-AUD",1.249106,1.245136,1.255722,1.220769,1.245136,3203699691,"training","Not Buy","Not Buy"
"12",2018-01-26,"USDT-AUD",1.242615,1.238303,1.263032,1.21835,1.238303,3646577777,"test","Not Buy","Not Buy"
"13",2018-01-27,"USDT-AUD",1.236663,1.224966,1.245283,1.223612,1.224966,2530497018,"training","Not Buy","Not Buy"
"14",2018-01-28,"USDT-AUD",1.228941,1.218322,1.234554,1.210106,1.218322,3137801715,"training","Not Buy","Not Buy"
"15",2018-01-29,"USDT-AUD",1.217891,1.229548,1.237282,1.214246,1.229548,2509153877,"training","Not Buy","Not Buy"
"16",2018-01-30,"USDT-AUD",1.23369,1.218034,1.251861,1.206775,1.218034,3838288697,"training","Not Buy","Buy"
"17",2018-01-31,"USDT-AUD",1.225507,1.22878,1.237472,1.205065,1.22878,3305534324,"training","Not Buy","Buy"
"18",2018-02-01,"USDT-AUD",1.230374,1.227689,1.260888,1.187674,1.227689,4352406975,"training","Buy","Buy"
"19",2018-02-02,"USDT-AUD",1.226886,1.249996,1.282985,1.158602,1.249996,6038190542,"training","Buy","Buy"
"20",2018-02-03,"USDT-AUD",1.25419,1.263323,1.281693,1.240069,1.263323,3139704668,"training","Not Buy","Not Buy"
"21",2018-02-04,"USDT-AUD",1.267197,1.277999,1.277999,1.230392,1.277999,3168825910,"training","Not Buy","Not Buy"
"22",2018-02-05,"USDT-AUD",1.259861,1.264992,1.288388,1.194408,1.264992,5178999614,"test","Not Buy","Not Buy"
"23",2018-02-06,"USDT-AUD",1.242382,1.279729,1.297926,1.219855,1.279729,7914924515,"training","Not Buy","Not Buy"
"24",2018-02-07,"USDT-AUD",1.269669,1.281546,1.293128,1.249552,1.281546,4232838454,"training","Not Buy","Not Buy"
"25",2018-02-08,"USDT-AUD",1.273317,1.308644,1.323474,1.263316,1.308644,3168019398,"training","Not Buy","Not Buy"
"26",2018-02-09,"USDT-AUD",1.311444,1.282947,1.347448,1.273907,1.282947,2088260104,"test","Not Buy","Not Buy"
"27",2018-02-10,"USDT-AUD",1.284701,1.284983,1.299386,1.271727,1.284983,3364972351,"training","Not Buy","Not Buy"
"28",2018-02-11,"USDT-AUD",1.286545,1.277815,1.296274,1.270936,1.277815,3109641820,"training","Not Buy","Not Buy"
"29",2018-02-12,"USDT-AUD",1.279041,1.272865,1.287141,1.268483,1.272865,3127771312,"training","Not Buy","Buy"
"30",2018-02-13,"USDT-AUD",1.273769,1.273502,1.28278,1.266765,1.273502,2832667518,"training","Not Buy","Buy"
"31",2018-02-14,"USDT-AUD",1.269196,1.262483,1.292439,1.263891,1.262483,3868033404,"test","Not Buy","Buy"
"32",2018-02-15,"USDT-AUD",1.267869,1.265941,1.282348,1.256081,1.265941,4138642598,"training","Buy","Buy"
"33",2018-02-16,"USDT-AUD",1.265475,1.266717,1.266959,1.249055,1.266717,3293919737,"training","Buy","Buy"
"34",2018-02-17,"USDT-AUD",1.270054,1.26874,1.278738,1.260168,1.26874,3536341802,"training","Not Buy","Buy"
"35",2018-02-18,"USDT-AUD",1.269979,1.270623,1.284528,1.262586,1.270623,3949159357,"training","Not Buy","Buy"
"36",2018-02-19,"USDT-AUD",1.265744,1.265154,1.268541,1.25653,1.265154,3219673708,"training","Not Buy","Not Buy"
"37",2018-02-20,"USDT-AUD",1.265204,1.269971,1.281556,1.262005,1.269971,3967787830,"test","Not Buy","Buy"
"38",2018-02-21,"USDT-AUD",1.276,1.283789,1.287121,1.258687,1.283789,4437386194,"training","Not Buy","Buy"
"39",2018-02-22,"USDT-AUD",1.284507,1.281217,1.292354,1.271097,1.281217,3706290713,"training","Not Buy","Buy"
"40",2018-02-23,"USDT-AUD",1.286781,1.277024,1.29096,1.270881,1.277024,3589544980,"training","Not Buy","Buy"
"41",2018-02-24,"USDT-AUD",1.276476,1.278643,1.292873,1.267228,1.278643,3082634298,"test","Not Buy","Buy"
"42",2018-02-25,"USDT-AUD",1.28113,1.276269,1.286497,1.270214,1.276269,2511929124,"training","Not Buy","Buy"
"43",2018-02-26,"USDT-AUD",1.272855,1.273651,1.281605,1.261539,1.273651,3009951641,"training","Not Buy","Not Buy"
"44",2018-02-27,"USDT-AUD",1.272524,1.28387,1.285986,1.264043,1.28387,3173386249,"training","Not Buy","Not Buy"
"45",2018-02-28,"USDT-AUD",1.287425,1.286914,1.289932,1.275098,1.286914,3110319525,"training","Not Buy","Not Buy"
"46",2018-03-01,"USDT-AUD",1.288131,1.288537,1.294668,1.290241,1.288537,2943804801,"test","Not Buy","Not Buy"
"47",2018-03-02,"USDT-AUD",1.285663,1.287316,1.296879,1.280668,1.287316,2797128653,"test","Not Buy","Not Buy"
"48",2018-03-03,"USDT-AUD",1.281545,1.288784,1.295635,1.279265,1.288784,2809026422,"test","Not Buy","Not Buy"
"49",2018-03-04,"USDT-AUD",1.287909,1.286411,1.294038,1.283248,1.286411,2751657016,"training","Not Buy","Not Buy"
"50",2018-03-05,"USDT-AUD",1.286294,1.286533,1.294212,1.284724,1.286533,2869242658,"training","Not Buy","Not Buy"
"51",2018-03-06,"USDT-AUD",1.294487,1.285329,1.296006,1.273827,1.285329,3201246125,"training","Not Buy","Not Buy"
"52",2018-03-07,"USDT-AUD",1.282572,1.280961,1.313648,1.259145,1.280961,3881139913,"test","Not Buy","Not Buy"
"53",2018-03-08,"USDT-AUD",1.279747,1.29145,1.29659,1.266522,1.29145,3385145615,"training","Not Buy","Not Buy"
"54",2018-03-09,"USDT-AUD",1.283506,1.276,1.300513,1.266902,1.276,3989324963,"training","Not Buy","Not Buy"
"55",2018-03-10,"USDT-AUD",1.270837,1.280497,1.291057,1.267434,1.280497,2826509696,"training","Not Buy","Buy"
"56",2018-03-11,"USDT-AUD",1.278306,1.27715,1.291159,1.267145,1.27715,3046832203,"training","Not Buy","Buy"
