"","date","currency","open","close","high","low","adj","volume","test","true","pred"
"1",2018-01-15,"XRP-AUD",2.347604,2.106974,2.401832,2.091022,2.106974,2310203608,"training","Not Buy","Not Buy"
"2",2018-01-16,"XRP-AUD",2.109022,1.479599,2.135534,1.14264,1.479599,7136712752,"training","Buy","Not Buy"
"3",2018-01-17,"XRP-AUD",1.485169,1.638866,1.728258,1.126895,1.638866,9096989386,"test","Buy","Not Buy"
"4",2018-01-18,"XRP-AUD",1.637913,1.994478,2.167842,1.57617,1.994478,11380936834,"training","Not Buy","Not Buy"
"5",2018-01-19,"XRP-AUD",1.976477,1.942491,2.125549,1.877849,1.942491,4627571984,"training","Not Buy","Not Buy"
"6",2018-01-20,"XRP-AUD",1.955995,1.975745,2.03796,1.880776,1.975745,2936733316,"training","Not Buy","Not Buy"
"7",2018-01-21,"XRP-AUD",1.972754,1.724834,1.972754,1.679627,1.724834,3550493788,"training","Not Buy","Not Buy"
"8",2018-01-22,"XRP-AUD",1.739295,1.695204,1.787524,1.45131,1.695204,3300249881,"training","Not Buy","Not Buy"
"9",2018-01-23,"XRP-AUD",1.690009,1.670711,1.79812,1.512509,1.670711,3719955096,"training","Not Buy","Not Buy"
"10",2018-01-24,"XRP-AUD",1.689516,1.685901,1.766625,1.636641,1.685901,2302409937,"training","Not Buy","Not Buy"
"11",2018-01-25,"XRP-AUD",1.693478,1.634567,1.706308,1.597319,1.634567,1228285959,"training","Not Buy","Not Buy"
"12",2018-01-26,"XRP-AUD",1.630443,1.501135,1.646412,1.404703,1.501135,2512726659,"test","Not Buy","Not Buy"
"13",2018-01-27,"XRP-AUD",1.501899,1.503404,1.528524,1.466815,1.503404,849797745,"training","Not Buy","Not Buy"
"14",2018-01-28,"XRP-AUD",1.509298,1.724495,1.774361,1.509298,1.724495,1635485460,"test","Not Buy","Not Buy"
"15",2018-01-29,"XRP-AUD",1.724014,1.63554,1.731883,1.604657,1.63554,1326349598,"training","Not Buy","Not Buy"
"16",2018-01-30,"XRP-AUD",1.640741,1.405803,1.640741,1.397319,1.405803,1400963081,"training","Not Buy","Not Buy"
"17",2018-01-31,"XRP-AUD",1.396049,1.44235,1.477764,1.286595,1.44235,1568469973,"training","Not Buy","Not Buy"
"18",2018-02-01,"XRP-AUD",1.440476,1.197326,1.441895,1.157475,1.197326,1754471909,"training","Not Buy","Not Buy"
"19",2018-02-02,"XRP-AUD",1.194977,1.116306,1.195423,0.795572,1.116306,4453393893,"training","Not Buy","Not Buy"
"20",2018-02-03,"XRP-AUD",1.1254,1.165838,1.229875,0.960932,1.165838,2509412061,"training","Not Buy","Not Buy"
"21",2018-02-04,"XRP-AUD",1.152432,1.032013,1.202305,1.007996,1.032013,1506781376,"training","Not Buy","Buy"
"22",2018-02-05,"XRP-AUD",1.044968,0.878363,1.054592,0.855586,0.878363,1633037034,"training","Buy","Buy"
"23",2018-02-06,"XRP-AUD",0.895278,0.983648,0.996077,0.748264,0.983648,2991435408,"training","Buy","Buy"
