date,cases,deaths,countryCode,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
2020-09-07,72,5,AUS,5.82068944
2020-09-06,71,11,AUS,6.36823895
2020-09-05,87,59,AUS,6.86023997
2020-09-04,126,15,AUS,7.19353098
2020-09-03,104,6,AUS,7.65775775
2020-09-02,73,5,AUS,8.11801676
2020-09-01,76,41,AUS,8.51875952
2020-08-31,123,11,AUS,9.451180800000001
2020-08-30,99,17,AUS,9.96698832
2020-08-29,126,11,AUS,10.73276409
2020-08-28,117,23,AUS,11.76041138
2020-08-27,152,24,AUS,12.21273489
2020-08-26,137,8,AUS,13.25228542
2020-08-25,104,15,AUS,13.962512699999998
2020-08-24,210,17,AUS,14.79177247
2020-08-23,195,13,AUS,15.4900965
2020-08-22,171,9,AUS,16.40664678
2020-08-21,243,13,AUS,17.35493906
2020-08-20,220,12,AUS,18.04929533
2020-08-19,174,17,AUS,20.01333164
2020-08-18,311,25,AUS,20.95368842
2020-08-17,253,17,AUS,21.28697943
2020-08-16,292,4,AUS,22.82646648
2020-08-15,385,14,AUS,23.16372524
2020-08-14,231,9,AUS,24.02472702
2020-08-13,414,21,AUS,25.96892458
2020-08-12,316,18,AUS,25.42931056
2020-08-11,313,18,AUS,25.63960132
2020-08-10,386,17,AUS,26.5085386
2020-08-09,426,12,AUS,26.77437786
2020-08-08,410,11,AUS,26.492667600000004
2020-08-07,418,8,AUS,26.01256983
2020-08-06,715,15,AUS,25.98082783
2020-08-05,411,11,AUS,25.00079355
2020-08-04,395,13,AUS,24.79447054
2020-08-03,641,8,AUS,24.28659853
2020-08-02,377,4,AUS,23.17562849
2020-08-01,602,7,AUS,22.49714322
2020-07-31,721,13,AUS,21.79485145
2020-07-30,278,9,AUS,20.1839449
2020-07-29,369,6,AUS,20.04904139
2020-07-28,532,6,AUS,19.66020188
2020-07-27,453,10,AUS,18.27545708
2020-07-26,355,6,AUS,17.44619731
2020-07-25,289,6,AUS,16.80738954
2020-07-24,410,5,AUS,16.85103479
2020-07-23,468,2,AUS,15.91067801
2020-07-22,359,3,AUS,14.57354622
2020-07-21,267,1,AUS,13.81967369
2020-07-20,361,4,AUS,13.30386618
2020-07-19,206,2,AUS,12.21670264
2020-07-18,425,3,AUS,11.82389538
2020-07-17,315,2,AUS,11.14541011
2020-07-16,244,3,AUS,10.21695658
2020-07-15,271,0,AUS,9.59005206
2020-07-14,183,0,AUS,8.78063103
2020-07-13,244,1,AUS,8.37592052
2020-07-12,194,1,AUS,7.58633824
2020-07-11,300,0,AUS,6.99911122
2020-07-10,173,0,AUS,5.95559294
2020-07-09,131,0,AUS,5.41597892
2020-07-08,169,0,AUS,5.01126841
2020-07-07,137,2,AUS,4.41213814
2020-07-06,87,0,AUS,3.92013713
2020-07-05,107,0,AUS,3.67413662
2020-07-04,254,0,AUS,3.35671661
2020-07-03,81,0,AUS,2.42032758
2020-07-02,86,0,AUS,2.18226257
2020-07-01,67,0,AUS,1.93229431
2020-06-30,81,0,AUS,1.71406805
2020-06-29,45,0,AUS,1.45219655
2020-06-28,46,0,AUS,1.34506729
2020-06-27,37,0,AUS,1.21016379
2020-06-26,37,1,AUS,1.08319578
2020-06-25,29,1,AUS,0.97209878
2020-06-24,18,0,AUS,0.89274378
2020-06-23,13,0,AUS,0.82925978
2020-06-22,25,0,AUS,0.79751778
2020-06-21,27,0,AUS,0.71816277
2020-06-20,18,0,AUS,0.62690452
2020-06-19,21,0,AUS,0.59913027
2020-06-18,23,0,AUS,0.55945277
2020-06-17,12,0,AUS,0.49993652
2020-06-16,15,0,AUS,0.51977527
2020-06-15,18,0,AUS,0.49596877
2020-06-14,12,0,AUS,0.46422676
2020-06-13,5,0,AUS,0.46422676
2020-06-12,9,0,AUS,0.53564627
2020-06-11,9,0,AUS,0.54358177
2020-06-10,2,0,AUS,0.53167852
2020-06-09,5,0,AUS,0.58325927
2020-06-08,5,0,AUS,0.59913027
2020-06-07,4,0,AUS,0.59119477
2020-06-06,11,0,AUS,0.61896902
2020-06-05,11,0,AUS,0.63087227
2020-06-04,8,0,AUS,0.59516252
2020-06-03,17,0,AUS,0.60706577
2020-06-02,9,0,AUS,0.57135602
2020-06-01,10,0,AUS,0.59516252
2020-05-31,12,0,AUS,0.59119477
2020-05-30,23,0,AUS,0.61103352
2020-05-29,11,0,AUS,0.63880777
2020-05-28,6,0,AUS,0.65071102
2020-05-27,15,0,AUS,0.67054977
2020-05-26,9,0,AUS,0.67451752
2020-05-25,3,0,AUS,0.66658202
2020-05-24,11,1,AUS,0.70229177
2020-05-23,14,1,AUS,0.71816277
2020-05-22,2,0,AUS,0.73403377
2020-05-21,11,1,AUS,0.80942103
2020-05-20,8,0,AUS,0.86893728
