Date_reported,New_cases
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,7
2020-01-26,1
2020-01-27,1
2020-01-28,0
2020-01-29,2
2020-01-30,2
2020-01-31,0
2020-02-01,3
2020-02-02,0
2020-02-03,0
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,2
2020-02-22,4
2020-02-23,1
2020-02-24,0
2020-02-25,1
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,2
2020-03-01,2
2020-03-02,6
2020-03-03,0
2020-03-04,0
2020-03-05,24
2020-03-06,5
2020-03-07,8
2020-03-08,7
2020-03-09,15
2020-03-10,0
2020-03-11,30
2020-03-12,18
2020-03-13,49
2020-03-14,8
2020-03-15,101
2020-03-16,38
2020-03-17,78
2020-03-18,96
2020-03-19,195
2020-03-20,164
2020-03-21,208
2020-03-22,17
2020-03-23,611
2020-03-24,427
2020-03-25,287
2020-03-26,376
2020-03-27,186
2020-03-28,650
2020-03-29,331
2020-03-30,279
2020-03-31,312
2020-04-01,303
2020-04-02,116
2020-04-03,374
2020-04-04,104
2020-04-05,181
2020-04-06,160
2020-04-07,49
2020-04-08,112
2020-04-09,96
2020-04-10,100
2020-04-11,137
2020-04-12,24
2020-04-13,9
2020-04-14,44
2020-04-15,50
2020-04-16,42
2020-04-17,10
2020-04-18,65
2020-04-19,73
2020-04-20,6
2020-04-21,13
2020-04-22,22
2020-04-23,14
2020-04-24,6
2020-04-25,20
2020-04-26,16
2020-04-27,10
2020-04-28,12
2020-04-29,13
2020-04-30,8
2020-05-01,16
2020-05-02,5
2020-05-03,16
2020-05-04,18
2020-05-05,24
2020-05-06,24
2020-05-07,26
2020-05-08,21
2020-05-09,18
2020-05-10,15
2020-05-11,12
2020-05-12,7
2020-05-13,16
2020-05-14,11
2020-05-15,14
2020-05-16,30
2020-05-17,17
2020-05-18,9
2020-05-19,15
2020-05-20,8
2020-05-21,11
2020-05-22,2
2020-05-23,14
2020-05-24,11
2020-05-25,3
2020-05-26,9
2020-05-27,15
2020-05-28,6
2020-05-29,11
2020-05-30,23
2020-05-31,12
2020-06-01,10
2020-06-02,9
2020-06-03,17
2020-06-04,8
2020-06-05,11
2020-06-06,11
2020-06-07,4
2020-06-08,5
2020-06-09,5
2020-06-10,2
2020-06-11,0
2020-06-12,18
2020-06-13,5
2020-06-14,12
2020-06-15,18
2020-06-16,15
2020-06-17,12
2020-06-18,23
2020-06-19,21
2020-06-20,18
2020-06-21,27
2020-06-22,25
2020-06-23,13
2020-06-24,18
2020-06-25,29
2020-06-26,37
2020-06-27,37
2020-06-28,46
2020-06-29,45
2020-06-30,81
2020-07-01,67
2020-07-02,86
2020-07-03,81
2020-07-04,254
2020-07-05,107
2020-07-06,87
2020-07-07,137
2020-07-08,169
2020-07-09,131
2020-07-10,173
2020-07-11,300
2020-07-12,194
2020-07-13,244
2020-07-14,183
2020-07-15,271
2020-07-16,244
2020-07-17,315
2020-07-18,425
2020-07-19,206
2020-07-20,361
2020-07-21,267
2020-07-22,359
2020-07-23,468
2020-07-24,410
2020-07-25,289
2020-07-26,355
2020-07-27,453
2020-07-28,532
2020-07-29,369
2020-07-30,278
2020-07-31,721
2020-08-01,602
2020-08-02,377
2020-08-03,641
2020-08-04,395
2020-08-05,411
2020-08-06,715
2020-08-07,418
2020-08-08,410
2020-08-09,426
2020-08-10,386
2020-08-11,313
2020-08-12,316
2020-08-13,414
2020-08-14,231
2020-08-15,385
2020-08-16,292
2020-08-17,253
2020-08-18,271
2020-08-19,214
2020-08-20,220
2020-08-21,243
2020-08-22,171
2020-08-23,195
2020-08-24,210
2020-08-25,104
2020-08-26,137
2020-08-27,152
2020-08-28,117
2020-08-29,126
2020-08-30,99
2020-08-31,123
2020-09-01,76
2020-09-02,73
2020-09-03,104
2020-09-04,126
2020-09-05,87
2020-09-06,71
2020-09-07,72
2020-09-08,43
2020-09-09,52
2020-09-10,91
2020-09-11,48
2020-09-12,52
2020-09-13,42
2020-09-14,44
2020-09-15,41
2020-09-16,46
2020-09-17,41
2020-09-18,34
2020-09-19,48
2020-09-20,24
2020-09-21,13
2020-09-22,14
2020-09-23,30
2020-09-24,31
2020-09-25,10
2020-09-26,17
2020-09-27,16
2020-09-28,24
