Date,SYD_actual,SYD_predicted,CWN_actual,CWN_predicted,ASX_actual,ASX_predicted,UBER_actual,UBER_predicted,CSL_actual,CSL_predicted
2020-01-02,8.62,9.094727,12.02,12.117189,78.139999,78.80171,29.940001000000002,28.876305,274.799988,286.56958
2020-01-03,8.82,8.93115,12.19,12.006807,79.470001,78.31679,30.620001000000002,28.796381,280.0,285.9606
2020-01-06,8.6,8.896596,12.1,12.089437,79.0,77.96276,31.01,28.679,276.0,285.3687
2020-01-07,8.74,8.849997,12.06,12.054064,79.83000200000001,77.73848,31.790001,28.560234,280.890015,284.6638
2020-01-08,8.74,8.867592,12.07,12.016157,80.68,77.7359,32.73,28.476494,286.48999,284.3464
2020-01-09,8.55,8.903229,12.21,12.00938,81.339996,77.9743,34.450001,28.459526,288.100006,285.04828
2020-01-10,8.82,8.860122,12.25,12.104764,81.940002,78.37024,34.080002,28.542154,295.519989,286.7799
2020-01-13,8.84,8.899927,12.28,12.162622,81.0,78.82521,34.290001000000004,28.722866,297.190002,289.713
2020-01-14,8.8,8.96136,12.31,12.200437,82.480003,79.05759,34.200001,28.974178,299.829987,293.3466
2020-01-15,9.01,8.985917,12.43,12.229997,82.379997,79.305504,34.900002,29.249594,296.5,297.08514
2020-01-16,9.09,9.061849,12.58,12.320487,83.620003,79.53371,35.029999,29.509668,299.940002,299.92038
2020-01-17,9.03,9.152562,12.6,12.451135,84.900002,79.88401,34.970001,29.722162,302.0,301.80463
2020-01-20,9.05,9.182637,12.58,12.503229,84.360001,80.431694,,,303.0,303.038
2020-01-21,8.83,9.184487,12.4,12.502841,84.050003,80.90502,35.5,29.862038,304.450012,303.93085
2020-01-22,8.65,9.093449,12.34,12.374625,83.989998,81.18229,37.939999,29.924698,304.339996,304.77548
2020-01-23,8.6,8.946871,12.2,12.29323,85.33000200000001,81.30236,36.970001,29.957203,308.0,305.62286
2020-01-24,8.64,8.827363,12.11,12.172737,85.860001,81.52844,37.5,29.981441,308.450012,306.7736
2020-01-27,,,,,,,35.23,30.010973,,
2020-01-28,7.99,8.784298,11.65,12.077266,83.139999,81.88374,37.139998999999996,30.006283,319.0,308.1823
2020-01-29,8.31,8.571583,11.48,11.733874,84.660004,81.88148,36.98,29.968008,313.98999,310.6227
2020-01-30,8.44,8.480173,11.54,11.507293,85.709999,81.85945,36.82,29.906994,312.619995,313.28897
2020-01-31,8.3,8.522647,11.59,11.483852,85.779999,82.0338,37.0,29.835684,314.0,315.3953
2020-02-03,8.07,8.553602,11.33,11.521662,84.160004,82.31613,36.75,29.770523,309.5,316.75677
2020-02-04,8.35,8.483208,11.49,11.363107,84.620003,82.37304,37.869999,29.722473,311.329987,317.0072
2020-02-05,8.5,8.488588,11.75,11.4147005,85.860001,82.3335,38.889998999999996,29.71948,321.0,316.56482
2020-02-06,8.51,8.574874,11.63,11.611369,86.059998,82.44295,37.299999,29.79901,321.049988,316.77625
2020-02-07,8.63,8.657571,11.53,11.598019,86.25,82.66654,39.98,29.950272,322.0,317.92993
2020-02-10,8.6,8.740811,11.52,11.519552,85.800003,82.921295,40.650002,30.195494,322.670013,319.80212
2020-02-11,8.5,8.775299,11.8,11.4808235,86.269997,83.07372,40.25,30.555086,323.570007,321.9208
2020-02-12,8.51,8.738466,11.8,11.661251,85.410004,83.195435,41.5,31.014387,335.01001,323.88644
2020-02-13,8.56,8.692736,11.96,11.725037,87.029999,83.18248,40.93,31.558779,331.670013,326.48703
2020-02-14,8.52,8.680754,11.95,11.854022,83.0,83.30805,40.02,32.142574,329.230011,329.14465
2020-02-17,8.58,8.674151,11.82,11.884863,82.57,83.00096,,,333.690002,331.12415
2020-02-18,8.4,8.69378,11.76,11.802214,82.449997,82.409386,39.490002000000004,32.688057,332.799988,332.6186
2020-02-19,8.32,8.654072,11.72,11.729856,82.150002,81.79208,40.419998,33.116188,334.880005,333.61316
2020-02-20,8.3,8.580359,11.74,11.679561,82.760002,81.28139,41.0,33.40179,339.420013,334.3931
2020-02-21,8.37,8.517682,11.81,11.680258,80.989998,81.02001,40.889998999999996,33.56622,338.679993,335.4854
2020-02-24,8.28,8.508884,11.5,11.731371,80.5,80.70206,38.209998999999996,33.6443,333.0,336.78818
2020-02-25,8.0,8.495613,10.88,11.538848,77.870003,80.28461,38.900002,33.613342,314.859985,337.54572
2020-02-26,8.0,8.39185,10.65,11.052854,77.18,79.50678,35.529999,33.481606,317.5,335.99057
2020-02-27,7.95,8.290532,10.6,10.722782,77.43,78.524,32.029999,33.211914,309.679993,332.8152
2020-02-28,7.58,8.214371,10.3,10.591555,75.75,77.65926,31.809998999999998,32.742958,307.0,328.41293
2020-03-02,7.5,8.063217,10.03,10.368226,73.0,76.80935,34.049999,32.08885,298.619995,323.60016
2020-03-03,7.76,7.9075017,10.3,10.117121,74.550003,75.668015,34.02,31.367306,312.0,318.59003
2020-03-04,7.6,7.8807282,9.85,10.204406,74.16999799999999,74.728,33.93,30.705837,309.0,315.24533
2020-03-05,7.62,7.876784,10.04,9.969107,74.129997,74.09153,33.470001,30.200317,315.02999900000003,313.85965
2020-03-06,7.3,7.8794994,9.77,9.988429,73.459999,73.71106,31.23,29.897505,316.899994,314.61652
2020-03-09,7.0,7.7860413,9.34,9.837526,70.589996,73.38621,28.5,29.775465,304.0,316.90198
2020-03-10,6.33,7.593667,8.75,9.5054865,69.610001,72.63153,29.469998999999998,29.757462,285.0,318.41846
2020-03-11,6.7,7.2531595,9.22,9.002468,73.199997,71.51188,27.91,29.79189,319.350006,316.68085
2020-03-12,6.3,7.026758,8.85,9.0798,69.75,70.97336,23.26,29.834337,299.98999,315.16306
2020-03-13,5.2,6.8443756,8.0,8.941515,64.459999,70.46597,24.01,29.812607,261.040009,313.3903
2020-03-16,5.0,6.492795,7.39,8.385635,68.07,69.06722,20.15,29.705141,288.72000099999997,308.07718
2020-03-17,4.6,6.087825,7.07,7.7560062,64.300003,67.80343,20.18,29.49756,276.570007,302.02676
2020-03-18,4.9,5.688513,7.0,7.2935286,69.510002,66.47386,17.76,29.213112,297.200012,296.04688
2020-03-19,4.89,5.4149632,6.11,7.075155,71.279999,66.14239,15.96,28.881792,278.519989,292.88965
2020-03-20,4.87,5.2826133,6.18,6.562218,71.690002,66.96207,22.530001000000002,28.533743,283.859985,291.50452
2020-03-23,4.6,5.247991,6.12,6.3042955,66.0,68.25167,21.07,28.246262,251.25,291.4363
2020-03-24,4.99,5.211996,6.08,6.1901445,70.290001,68.39386,24.41,28.075594,282.700012,289.08273
2020-03-25,5.25,5.216144,7.22,6.1429706,73.68,68.30775,26.18,28.070461,295.0,286.73767
2020-03-26,5.7,5.294643,6.9,6.7110567,74.139999,68.88212,26.6,28.264889,292.910004,286.68365
2020-03-27,6.22,5.483983,7.57,6.925982,73.459999,69.9085,25.82,28.662579,309.540009,288.98682
2020-03-30,5.98,5.8034434,7.01,7.337234,72.0,70.77018,26.33,29.220726,282.190002,294.15497
2020-03-31,6.06,6.050462,7.48,7.260809,78.510002,71.02854,27.75,29.867878,314.200012,298.07825
2020-04-01,5.43,6.1711555,7.7,7.3867636,77.0,71.94445,26.5,30.531847,311.51001,302.24106
2020-04-02,5.35,6.0607,7.8,7.5816016,77.25,72.99009,25.01,31.117428,300.0,306.35703
2020-04-03,5.35,5.8424683,7.83,7.738715,79.900002,73.833824,23.73,31.516485,315.0,308.76767
2020-04-06,5.2,5.63722,7.5,7.8213983,78.110001,74.80004,24.129998999999998,31.641518,307.0,310.61658
2020-04-07,5.34,5.474677,8.3,7.66835,83.110001,75.418304,27.950001,31.473833,328.0,311.53604
2020-04-08,5.11,5.397005,8.0,8.001237,77.0,76.474556,26.0,31.100939,306.0,313.64832
2020-04-09,5.5,5.3506513,8.06,8.0397415,81.0,76.72752,27.879998999999998,30.600443,325.5,314.9997
2020-04-13,,,,,,,27.040001,30.06232,,
2020-04-14,5.72,5.387708,8.32,8.060546,78.129997,76.98708,28.0,29.543116,326.299988,316.91486
2020-04-15,5.78,5.5194106,8.2,8.202896,78.339996,76.91914,26.82,29.085205,330.0,319.5308
2020-04-16,5.89,5.6845865,8.16,8.209453,78.019997,76.7027,27.209999,28.694473,318.0,322.76654
2020-04-17,5.95,5.835937,8.54,8.172626,82.0,76.45726,28.690001000000002,28.367825,329.980011,324.85312
2020-04-20,6.06,5.9472466,8.18,8.362495,82.0,76.893776,27.07,28.114668,325.700012,326.53455
2020-04-21,5.9,6.030413,8.03,8.265023,81.860001,77.70252,27.5,27.918816,316.01001,327.59525
2020-04-22,5.6,6.046514,7.99,8.106087,80.050003,78.44968,27.969998999999998,27.765144,305.75,327.21286
2020-04-23,5.63,5.959187,8.19,7.999862,83.370003,78.69546,28.75,27.647688,316.5,324.7536
2020-04-24,5.5,5.8449025,8.26,8.072528,81.18,79.07937,28.51,27.57086,309.459991,321.95047
2020-04-27,5.57,5.732459,8.35,8.167899,81.379997,79.23792,29.74,27.533424,318.200012,319.21368
2020-04-28,5.83,5.6642423,8.56,8.267127,84.400002,79.24021,31.0,27.54262,316.130005,317.8294
2020-04-29,5.9,5.693845,9.38,8.429733,83.980003,79.623924,31.0,27.612572,318.0,317.81223
2020-04-30,6.0,5.794674,9.72,8.986933,84.0,80.1447,30.5,27.741934,314.51001,318.904
2020-05-01,6.12,5.9235435,9.62,9.454883,81.860001,80.60164,29.129998999999998,27.905096,308.0,320.15955
2020-05-04,5.65,6.0536256,9.55,9.58034,79.010002,80.62494,27.559998999999998,28.049738,299.390015,320.423
2020-05-05,5.9,6.0460954,9.39,9.545114,83.239998,79.99966,28.25,28.11333,307.0,318.8032
2020-05-06,5.68,6.0057025,9.26,9.407261,83.300003,79.73514,27.5,28.073893,308.5,316.46603
2020-05-07,5.5,5.932779,9.25,9.262669,83.66999799999999,79.89186,29.6,27.93576,310.790009,314.4289
2020-05-08,5.42,5.824911,9.3,9.202359,82.239998,80.28013,32.59,27.752687,308.040009,313.4241
2020-05-11,5.54,5.7091017,9.45,9.221958,82.870003,80.47232,31.98,27.616196,303.290009,313.24356
