date,total_cases
31/12/2019,0
1/01/2020,0
2/01/2020,0
3/01/2020,0
4/01/2020,0
5/01/2020,0
6/01/2020,0
7/01/2020,0
8/01/2020,0
9/01/2020,0
10/01/2020,0
11/01/2020,0
12/01/2020,0
13/01/2020,0
14/01/2020,0
15/01/2020,0
16/01/2020,0
17/01/2020,0
18/01/2020,0
19/01/2020,0
20/01/2020,0
21/01/2020,0
22/01/2020,0
23/01/2020,0
24/01/2020,0
25/01/2020,0
26/01/2020,0
27/01/2020,0
28/01/2020,0
29/01/2020,0
30/01/2020,0
31/01/2020,0
1/02/2020,0
2/02/2020,0
3/02/2020,0
4/02/2020,0
5/02/2020,0
6/02/2020,0
7/02/2020,0
8/02/2020,0
9/02/2020,0
10/02/2020,0
11/02/2020,0
12/02/2020,0
13/02/2020,0
14/02/2020,0
15/02/2020,0
16/02/2020,0
17/02/2020,0
18/02/2020,0
19/02/2020,0
20/02/2020,0
21/02/2020,0
22/02/2020,0
23/02/2020,0
24/02/2020,0
25/02/2020,1
26/02/2020,1
27/02/2020,1
28/02/2020,1
29/02/2020,1
1/03/2020,1
2/03/2020,1
3/03/2020,
4/03/2020,
5/03/2020,
6/03/2020,
7/03/2020,
8/03/2020,4
9/03/2020,
10/03/2020,
11/03/2020,7
12/03/2020,
13/03/2020,
14/03/2020,
15/03/2020,10
16/03/2020,16
17/03/2020,21
18/03/2020,22
19/03/2020,22
20/03/2020,22
21/03/2020,24
22/03/2020,24
23/03/2020,34
24/03/2020,40
25/03/2020,42
26/03/2020,75
27/03/2020,75
28/03/2020,91
29/03/2020,106
30/03/2020,114
31/03/2020,141
1/04/2020,166
2/04/2020,192
3/04/2020,235
4/04/2020,235
5/04/2020,270
6/04/2020,299
7/04/2020,337
8/04/2020,367
9/04/2020,423
10/04/2020,484
11/04/2020,521
12/04/2020,555
13/04/2020,607
14/04/2020,665
15/04/2020,714
16/04/2020,784
17/04/2020,794
18/04/2020,845
19/04/2020,908
20/04/2020,996
21/04/2020,1031
22/04/2020,1092
23/04/2020,1176
24/04/2020,1281
25/04/2020,1351
26/04/2020,1463
27/04/2020,1531
28/04/2020,1703
29/04/2020,1827
30/04/2020,1949
1/05/2020,2171
2/05/2020,2335
3/05/2020,2469
4/05/2020,2704
5/05/2020,2894
6/05/2020,3224
7/05/2020,3392
8/05/2020,3563
9/05/2020,3778
10/05/2020,4033
11/05/2020,4402
12/05/2020,4687
13/05/2020,4967
14/05/2020,5226
15/05/2020,5339
16/05/2020,6402
17/05/2020,6402
18/05/2020,6664
19/05/2020,7072
20/05/2020,7653
21/05/2020,8145
22/05/2020,8676
23/05/2020,9216
24/05/2020,9998
25/05/2020,10582
26/05/2020,11173
27/05/2020,11831
28/05/2020,12456
29/05/2020,13036
30/05/2020,13659
31/05/2020,14525
1/06/2020,15205
2/06/2020,15750
3/06/2020,16509
4/06/2020,17267
5/06/2020,18054
6/06/2020,18969
7/06/2020,19551
8/06/2020,20342
9/06/2020,20917
10/06/2020,21459
11/06/2020,22143
12/06/2020,22890
13/06/2020,23546
14/06/2020,24102
15/06/2020,24766
16/06/2020,25527
17/06/2020,26310
18/06/2020,26874
19/06/2020,27532
20/06/2020,27878
21/06/2020,28424
22/06/2020,28833
23/06/2020,29143
24/06/2020,29481
25/06/2020,29715
26/06/2020,30175
27/06/2020,30451
28/06/2020,30616
29/06/2020,30967
30/06/2020,31238
1/07/2020,31517
2/07/2020,31836
3/07/2020,32022
4/07/2020,32324
5/07/2020,32672
6/07/2020,32951
7/07/2020,33384
8/07/2020,33594
9/07/2020,33653
10/07/2020,33908
11/07/2020,34366
12/07/2020,34451
13/07/2020,34451
14/07/2020,34455
15/07/2020,34740
16/07/2020,34994
17/07/2020,35070
18/07/2020,35289
19/07/2020,35301
20/07/2020,35475
21/07/2020,35615
22/07/2020,35727
23/07/2020,35915
24/07/2020,35928
25/07/2020,36036
26/07/2020,36157
27/07/2020,36263
28/07/2020,36368
29/07/2020,36471
30/07/2020,36471
31/07/2020,36542
1/08/2020,36710
2/08/2020,36710
3/08/2020,36710
4/08/2020,36747
5/08/2020,36829
6/08/2020,36896
7/08/2020,36937
8/08/2020,37015
9/08/2020,37054
10/08/2020,37054
11/08/2020,37054
12/08/2020,37269
13/08/2020,37345
14/08/2020,37424
15/08/2020,37431
16/08/2020,37551
17/08/2020,37596
18/08/2020,37599
19/08/2020,37599
20/08/2020,37759
21/08/2020,37856
22/08/2020,37894
23/08/2020,37999
24/08/2020,37999
25/08/2020,38070
26/08/2020,38071
27/08/2020,38126
28/08/2020,38129
29/08/2020,38140
30/08/2020,38143
31/08/2020,38162
1/09/2020,38196
2/09/2020,38205
3/09/2020,38243
4/09/2020,38288
5/09/2020,38304
6/09/2020,38324
7/09/2020,38398
8/09/2020,38494
9/09/2020,38520
9/03/2020,2
10/03/2020,6
11/03/2020,10
12/03/2020,11
13/03/2020,23
14/03/2020,33
15/03/2020,38
16/03/2020,42
17/03/2020,51
18/03/2020,55
19/03/2020,59
20/03/2020,70
21/03/2020,70
22/03/2020,76
23/03/2020,89
24/03/2020,100
25/03/2020,123
26/03/2020,146
27/03/2020,174
28/03/2020,186
29/03/2020,197
30/03/2020,212
31/03/2020,223
1/04/2020,243
2/04/2020,259
3/04/2020,277
4/04/2020,304
5/04/2020,333
6/04/2020,361
7/04/2020,377
8/04/2020,383
9/04/2020,400
10/04/2020,409
11/04/2020,416
12/04/2020,433
13/04/2020,446
14/04/2020,467
15/04/2020,475
16/04/2020,494
17/04/2020,518
18/04/2020,539
19/04/2020,548
20/04/2020,562
21/04/2020,584
22/04/2020,609
23/04/2020,634
24/04/2020,663
25/04/2020,678
26/04/2020,712
27/04/2020,726
28/04/2020,736
29/04/2020,750
30/04/2020,766
1/05/2020,773
2/05/2020,782
3/05/2020,789
4/05/2020,795
5/05/2020,803
6/05/2020,820
7/05/2020,832
8/05/2020,842
9/05/2020,850
10/05/2020,856
11/05/2020,868
12/05/2020,872
13/05/2020,876
14/05/2020,880
15/05/2020,898
16/05/2020,916
17/05/2020,933
18/05/2020,946
19/05/2020,948
20/05/2020,949
21/05/2020,964
22/05/2020,969
23/05/2020,981
24/05/2020,989
25/05/2020,998
26/05/2020,1004
27/05/2020,1029
28/05/2020,1050
29/05/2020,1076
30/05/2020,1099
31/05/2020,1122
1/06/2020,1137
2/06/2020,1143
3/06/2020,1164
4/06/2020,1184
5/06/2020,1197
6/06/2020,1212
7/06/2020,1232
8/06/2020,1246
9/06/2020,1263
10/06/2020,1299
11/06/2020,1341
12/06/2020,1385
13/06/2020,1416
14/06/2020,1464
15/06/2020,1521
16/06/2020,1590
17/06/2020,1672
18/06/2020,1722
19/06/2020,1788
20/06/2020,1838
21/06/2020,1891
22/06/2020,1927
23/06/2020,1995
24/06/2020,2047
25/06/2020,2114
26/06/2020,2192
27/06/2020,2269
28/06/2020,2330
29/06/2020,2402
30/06/2020,2466
1/07/2020,2535
2/07/2020,2580
3/07/2020,2662
4/07/2020,2752
5/07/2020,2819
6/07/2020,2893
7/07/2020,2964
8/07/2020,3038
9/07/2020,3106
10/07/2020,3188
11/07/2020,3278
12/07/2020,3371
13/07/2020,3454
14/07/2020,3571
15/07/2020,3667
16/07/2020,3752
17/07/2020,3851
18/07/2020,3906
19/07/2020,4008
20/07/2020,4090
21/07/2020,4171
22/07/2020,4290
23/07/2020,4358
24/07/2020,4466
25/07/2020,4570
26/07/2020,4637
27/07/2020,4763
28/07/2020,4880
29/07/2020,4997
30/07/2020,5105
31/07/2020,5197
1/08/2020,5276
2/08/2020,5396
3/08/2020,5519
4/08/2020,5620
5/08/2020,5750
6/08/2020,5889
7/08/2020,6016
8/08/2020,6151
9/08/2020,6275
10/08/2020,6411
11/08/2020,6536
12/08/2020,6676
13/08/2020,6817
14/08/2020,6971
15/08/2020,7117
16/08/2020,7260
17/08/2020,7380
18/08/2020,7499
19/08/2020,7654
20/08/2020,7812
21/08/2020,7967
22/08/2020,8119
23/08/2020,8275
24/08/2020,8427
25/08/2020,8605
26/08/2020,8759
27/08/2020,8927
28/08/2020,9083
29/08/2020,9195
30/08/2020,9279
31/08/2020,9380
1/09/2020,9513
2/09/2020,9606
3/09/2020,9728
4/09/2020,9844
5/09/2020,9967
6/09/2020,10102
7/09/2020,10255
8/09/2020,10406
9/09/2020,10553
31/12/2019,0
1/01/2020,0
2/01/2020,0
3/01/2020,0
4/01/2020,0
5/01/2020,0
6/01/2020,0
7/01/2020,0
8/01/2020,0
9/01/2020,0
10/01/2020,0
11/01/2020,0
12/01/2020,0
13/01/2020,0
14/01/2020,0
15/01/2020,0
16/01/2020,0
17/01/2020,0
18/01/2020,0
19/01/2020,0
20/01/2020,0
21/01/2020,0
22/01/2020,0
23/01/2020,0
24/01/2020,0
25/01/2020,0
26/01/2020,0
27/01/2020,0
28/01/2020,0
29/01/2020,0
30/01/2020,0
31/01/2020,0
1/02/2020,0
2/02/2020,0
3/02/2020,0
4/02/2020,0
5/02/2020,0
6/02/2020,0
7/02/2020,0
8/02/2020,0
9/02/2020,0
10/02/2020,0
11/02/2020,0
12/02/2020,0
13/02/2020,0
14/02/2020,0
15/02/2020,0
16/02/2020,0
17/02/2020,0
18/02/2020,0
19/02/2020,0
20/02/2020,0
21/02/2020,0
22/02/2020,0
23/02/2020,0
